tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2016-0083,Eckental CH,Hard,32,C,20161031,227,121531,6.0,,Mats Moraing,L,198.0,GER,24.3,103876,,,Tomasz Bednarek,R,,POL,34.9,6-3 6-1,3,Q1,52.0,16.0,5.0,47.0,23.0,22.0,13.0,8.0,0.0,0.0,1.0,8.0,49.0,23.0,15.0,9.0,8.0,2.0,6.0,382.0,115.0,,,atp_matches_qual_chall_2016.csv
2016-0083,Eckental CH,Hard,32,C,20161031,228,200282,,,Alex De Minaur,R,183.0,AUS,17.7,104308,,,Michal Przysiezny,R,185.0,POL,32.7,6-2 7-5,3,Q1,86.0,1.0,5.0,60.0,30.0,22.0,16.0,10.0,2.0,4.0,5.0,8.0,67.0,28.0,20.0,13.0,10.0,7.0,12.0,546.0,61.0,470.0,81.0,atp_matches_qual_chall_2016.csv
2016-0083,Eckental CH,Hard,32,C,20161031,229,126536,,,David Pichler,R,178.0,AUT,20.6,206917,,WC,Tim Hofmann,R,,GER,15.7,6-0 6-0,3,Q1,31.0,12.0,1.0,30.0,16.0,16.0,8.0,6.0,0.0,0.0,0.0,4.0,30.0,15.0,4.0,2.0,6.0,1.0,7.0,631.0,45.0,,,atp_matches_qual_chall_2016.csv
2016-0083,Eckental CH,Hard,32,C,20161031,232,105864,,,Tristan Samuel Weissborn,L,180.0,AUT,25.0,105781,,,Andrei Vasilevski,R,185.0,BLR,25.4,7-6(7) 6-4,3,Q1,93.0,9.0,10.0,87.0,49.0,34.0,18.0,11.0,9.0,12.0,8.0,8.0,80.0,44.0,32.0,16.0,11.0,4.0,8.0,,,740.0,28.0,atp_matches_qual_chall_2016.csv
2016-0083,Eckental CH,Hard,32,C,20161031,233,200514,,,Jurij Rodionov,L,191.0,AUT,17.4,202279,,WC,Leopold Zima,R,185.0,GER,16.4,6-2 6-4,3,Q1,66.0,6.0,5.0,68.0,36.0,26.0,19.0,9.0,2.0,2.0,5.0,1.0,63.0,35.0,23.0,14.0,9.0,5.0,8.0,971.0,12.0,,,atp_matches_qual_chall_2016.csv
2016-0083,Eckental CH,Hard,32,C,20161031,235,105906,7.0,,Kevin Krawietz,R,188.0,GER,24.7,105897,,,Alexander Zhurbin,U,,RUS,24.7,6-1 6-2,3,Q1,64.0,3.0,5.0,62.0,34.0,28.0,9.0,7.0,6.0,7.0,2.0,7.0,61.0,31.0,15.0,10.0,8.0,7.0,13.0,391.0,110.0,616.0,48.0,atp_matches_qual_chall_2016.csv
2016-0083,Eckental CH,Hard,32,C,20161031,236,104847,,,Adrien Bossel,L,,SUI,29.8,106374,,,Filip Veger,R,,CRO,21.8,6-3 6-3,3,Q1,65.0,8.0,6.0,48.0,18.0,14.0,18.0,9.0,0.0,1.0,4.0,4.0,64.0,49.0,28.0,6.0,9.0,5.0,9.0,459.0,84.0,578.0,55.0,atp_matches_qual_chall_2016.csv
2016-0083,Eckental CH,Hard,32,C,20161031,237,106214,,,Oscar Otte,R,193.0,GER,23.2,105738,,,Tsung Hua Yang,R,178.0,TPE,25.5,6-1 7-5,3,Q1,64.0,6.0,3.0,57.0,31.0,26.0,13.0,10.0,1.0,2.0,4.0,5.0,60.0,34.0,26.0,7.0,9.0,4.0,8.0,519.0,67.0,667.0,38.0,atp_matches_qual_chall_2016.csv
2016-0083,Eckental CH,Hard,32,C,20161031,239,125796,8.0,,Remi Boutillier,U,,FRA,26.7,105478,,,Yan Sabanin,R,191.0,RUS,26.7,7-5 6-1,3,Q1,69.0,5.0,6.0,53.0,29.0,23.0,13.0,9.0,1.0,2.0,7.0,4.0,69.0,31.0,18.0,17.0,10.0,4.0,9.0,418.0,97.0,937.0,14.0,atp_matches_qual_chall_2016.csv
2016-0083,Eckental CH,Hard,32,C,20161031,240,105047,,,Tim Puetz,R,185.0,GER,28.9,105587,,,Tom Kocevar Desman,R,180.0,SLO,26.3,6-4 7-6(8),3,Q1,100.0,12.0,7.0,75.0,37.0,30.0,19.0,11.0,4.0,6.0,8.0,9.0,76.0,29.0,21.0,23.0,11.0,2.0,5.0,699.0,33.0,762.0,26.0,atp_matches_qual_chall_2016.csv
2016-0083,Eckental CH,Hard,32,C,20161031,241,122392,,WC,Rene Schulte,L,,GER,27.5,104707,,,Denis Matsukevitch,R,190.0,RUS,30.5,6-4 3-4 RET,3,Q1,68.0,12.0,5.0,49.0,25.0,22.0,9.0,8.0,6.0,8.0,4.0,0.0,70.0,41.0,24.0,12.0,9.0,5.0,8.0,,,793.0,23.0,atp_matches_qual_chall_2016.csv
2016-0083,Eckental CH,Hard,32,C,20161031,243,200282,,,Alex De Minaur,R,183.0,AUS,17.7,121531,6.0,,Mats Moraing,L,198.0,GER,24.3,7-6(4) 7-5,3,Q2,97.0,3.0,5.0,94.0,50.0,33.0,27.0,12.0,8.0,9.0,9.0,6.0,69.0,32.0,24.0,22.0,12.0,2.0,4.0,546.0,61.0,382.0,115.0,atp_matches_qual_chall_2016.csv
2016-0083,Eckental CH,Hard,32,C,20161031,244,126536,,,David Pichler,R,178.0,AUT,20.6,105542,4.0,,Bastian Trinker,R,191.0,AUT,26.4,7-5 6-4,3,Q2,74.0,9.0,3.0,57.0,36.0,29.0,11.0,11.0,2.0,4.0,11.0,4.0,76.0,40.0,29.0,12.0,11.0,1.0,5.0,631.0,45.0,369.0,121.0,atp_matches_qual_chall_2016.csv
