tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2014-339,Brisbane,Hard,28,A,20131229,1,103813,,,Jarkko Nieminen,L,185.0,FIN,32.4,105902,,WC,James Duckworth,R,183.0,AUS,21.9,6-2 6-3,3,R32,72.0,5.0,3.0,71.0,54.0,36.0,9.0,9.0,5.0,5.0,9.0,7.0,51.0,29.0,23.0,6.0,8.0,2.0,5.0,39.0,1090.0,136.0,425.0,atp_matches_2014.csv
2014-339,Brisbane,Hard,28,A,20131229,2,104594,,,Marinko Matosevic,R,194.0,AUS,28.3,103898,,,Julien Benneteau,R,185.0,FRA,32.0,5-7 6-4 7-6(4),3,R32,161.0,11.0,3.0,112.0,68.0,43.0,26.0,17.0,5.0,9.0,14.0,1.0,117.0,76.0,51.0,18.0,17.0,7.0,11.0,61.0,774.0,35.0,1160.0,atp_matches_2014.csv
2014-339,Brisbane,Hard,28,A,20131229,3,105023,,,Sam Querrey,R,198.0,USA,26.2,104098,7.0,,Dmitry Tursunov,R,185.0,RUS,31.0,7-5 6-4,3,R32,77.0,18.0,1.0,58.0,40.0,36.0,7.0,11.0,2.0,3.0,4.0,0.0,63.0,40.0,26.0,12.0,11.0,6.0,9.0,46.0,960.0,29.0,1244.0,atp_matches_2014.csv
2014-339,Brisbane,Hard,28,A,20131229,4,105032,,WC,Sam Groth,R,193.0,AUS,26.1,105992,,Q,Ryan Harrison,R,185.0,USA,21.6,7-6(3) 7-6(2),3,R32,95.0,23.0,2.0,70.0,51.0,46.0,10.0,12.0,1.0,1.0,5.0,4.0,86.0,59.0,43.0,15.0,12.0,4.0,4.0,172.0,307.0,100.0,549.0,atp_matches_2014.csv
2014-339,Brisbane,Hard,28,A,20131229,5,103917,,,Nicolas Mahut,R,191.0,FRA,31.9,104997,,,Igor Sijsling,R,191.0,NED,26.3,3-6 6-4 6-4,3,R32,107.0,15.0,4.0,100.0,59.0,46.0,18.0,15.0,4.0,6.0,13.0,2.0,78.0,50.0,43.0,12.0,14.0,2.0,4.0,50.0,918.0,70.0,697.0,atp_matches_2014.csv
2014-339,Brisbane,Hard,28,A,20131229,6,104871,8.0,,Jeremy Chardy,R,188.0,FRA,26.8,105173,,,Adrian Mannarino,L,180.0,FRA,25.5,7-6(4) 7-5,3,R32,109.0,10.0,2.0,76.0,50.0,34.0,15.0,12.0,4.0,7.0,4.0,3.0,88.0,54.0,31.0,17.0,12.0,5.0,9.0,34.0,1175.0,59.0,784.0,atp_matches_2014.csv
2014-339,Brisbane,Hard,28,A,20131229,7,103852,6.0,,Feliciano Lopez,L,188.0,ESP,32.2,105062,,,Mikhail Kukushkin,R,183.0,KAZ,26.0,6-4 6-4,3,R32,75.0,13.0,3.0,55.0,30.0,24.0,14.0,10.0,1.0,3.0,4.0,2.0,58.0,28.0,12.0,19.0,10.0,2.0,6.0,28.0,1310.0,67.0,721.0,atp_matches_2014.csv
2014-339,Brisbane,Hard,28,A,20131229,8,103720,,,Lleyton Hewitt,R,180.0,AUS,32.8,106423,,Q,Thanasi Kokkinakis,R,193.0,AUS,17.7,6-3 7-5,3,R32,101.0,4.0,1.0,62.0,32.0,27.0,16.0,10.0,3.0,4.0,8.0,5.0,76.0,45.0,29.0,15.0,11.0,11.0,15.0,60.0,780.0,628.0,41.0,atp_matches_2014.csv
2014-339,Brisbane,Hard,28,A,20131229,9,105657,,Q,Marius Copil,R,191.0,ROU,23.2,105216,,Q,Yuichi Sugita,R,173.0,JPN,25.2,7-6(5) 6-7(2) 7-6(7),3,R32,174.0,31.0,2.0,128.0,75.0,66.0,27.0,18.0,2.0,2.0,4.0,1.0,126.0,90.0,71.0,22.0,18.0,8.0,8.0,147.0,369.0,170.0,310.0,atp_matches_2014.csv
2014-339,Brisbane,Hard,28,A,20131229,10,105777,5.0,,Grigor Dimitrov,R,191.0,BUL,22.6,104898,,,Robin Haase,R,191.0,NED,26.7,6-2 6-3,3,R32,58.0,6.0,1.0,43.0,23.0,21.0,15.0,9.0,0.0,0.0,2.0,1.0,56.0,39.0,24.0,8.0,8.0,5.0,8.0,23.0,1520.0,43.0,977.0,atp_matches_2014.csv
