tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2009-1536,Madrid Masters,Clay,56,M,20090510,1,103781,,,Jurgen Melzer,L,183.0,AUT,27.9,103656,,,Albert Montanes,R,175.0,ESP,28.4,4-6 7-5 6-3,3,R64,120.0,10.0,4.0,82.0,46.0,38.0,20.0,16.0,1.0,3.0,3.0,3.0,91.0,51.0,35.0,26.0,15.0,3.0,6.0,27.0,1735.0,28.0,1724.0,atp_matches_2009.csv
2009-1536,Madrid Masters,Clay,56,M,20090510,2,104259,,,Philipp Kohlschreiber,R,178.0,GER,25.5,104597,,,Nicolas Almagro,R,183.0,ESP,23.7,6-3 6-4,3,R64,92.0,2.0,1.0,63.0,44.0,33.0,12.0,10.0,3.0,3.0,7.0,0.0,69.0,36.0,29.0,13.0,9.0,7.0,9.0,35.0,1510.0,34.0,1515.0,atp_matches_2009.csv
2009-1536,Madrid Masters,Clay,56,M,20090510,3,105227,13.0,,Marin Cilic,R,198.0,CRO,20.6,104719,,,Marcel Granollers,R,190.0,ESP,23.0,6-2 6-7(4) 6-1,3,R64,149.0,3.0,3.0,108.0,57.0,38.0,31.0,14.0,8.0,9.0,0.0,4.0,79.0,45.0,26.0,21.0,13.0,5.0,10.0,14.0,2635.0,90.0,835.0,atp_matches_2009.csv
2009-1536,Madrid Masters,Clay,56,M,20090510,4,103970,12.0,,David Ferrer,R,175.0,ESP,27.1,103084,,Q,Guillermo Canas,R,185.0,ARG,31.4,6-2 6-2,3,R64,84.0,0.0,1.0,41.0,23.0,18.0,13.0,8.0,1.0,2.0,2.0,2.0,66.0,26.0,14.0,18.0,8.0,7.0,12.0,13.0,2645.0,108.0,734.0,atp_matches_2009.csv
2009-1536,Madrid Masters,Clay,56,M,20090510,5,104338,,WC,Juan Monaco,R,185.0,ARG,25.1,103852,,,Feliciano Lopez,L,188.0,ESP,27.6,6-4 7-5,3,R64,130.0,0.0,1.0,74.0,52.0,35.0,15.0,11.0,6.0,6.0,5.0,1.0,93.0,44.0,31.0,25.0,11.0,12.0,14.0,47.0,1240.0,32.0,1620.0,atp_matches_2009.csv
2009-1536,Madrid Masters,Clay,56,M,20090510,6,103507,,WC,Juan Carlos Ferrero,R,183.0,ESP,29.2,103857,,,Igor Kunitsyn,R,180.0,RUS,27.6,6-3 4-6 6-4,3,R64,131.0,1.0,3.0,98.0,63.0,37.0,21.0,15.0,4.0,8.0,1.0,1.0,85.0,61.0,36.0,11.0,14.0,5.0,10.0,115.0,724.0,39.0,1468.0,atp_matches_2009.csv
2009-1536,Madrid Masters,Clay,56,M,20090510,7,103169,,WC,Oscar Hernandez,R,180.0,ESP,31.0,103506,,,Martin Vassallo Arguello,R,183.0,ARG,29.2,6-3 6-3,3,R64,91.0,2.0,1.0,51.0,38.0,30.0,8.0,9.0,1.0,1.0,1.0,0.0,75.0,49.0,31.0,8.0,9.0,7.0,10.0,65.0,1023.0,49.0,1209.0,atp_matches_2009.csv
2009-1536,Madrid Masters,Clay,56,M,20090510,8,104312,,,Andreas Seppi,R,190.0,ITA,25.2,104724,,Q,Eduardo Schwank,R,183.0,ARG,23.0,7-5 6-4,3,R64,107.0,2.0,0.0,80.0,54.0,33.0,16.0,11.0,9.0,11.0,1.0,4.0,59.0,34.0,21.0,15.0,11.0,0.0,4.0,36.0,1490.0,68.0,997.0,atp_matches_2009.csv
2009-1536,Madrid Masters,Clay,56,M,20090510,9,105023,,,Sam Querrey,R,198.0,USA,21.5,103285,15.0,,Radek Stepanek,R,185.0,CZE,30.4,7-6(2) 5-2 RET,3,R64,78.0,10.0,0.0,56.0,33.0,29.0,13.0,9.0,1.0,1.0,4.0,4.0,64.0,37.0,24.0,16.0,10.0,4.0,6.0,60.0,1085.0,19.0,2090.0,atp_matches_2009.csv
2009-1536,Madrid Masters,Clay,56,M,20090510,10,104542,9.0,,Jo-Wilfried Tsonga,R,188.0,FRA,24.0,103498,,,Marat Safin,R,193.0,RUS,29.2,6-4 7-5,3,R64,90.0,2.0,2.0,60.0,36.0,30.0,15.0,11.0,1.0,1.0,9.0,0.0,68.0,30.0,25.0,19.0,11.0,4.0,6.0,9.0,3455.0,20.0,2015.0,atp_matches_2009.csv
