tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2011-339,Brisbane,Hard,32,A,20110102,1,104417,1.0,,Robin Soderling,R,193.0,SWE,26.3,105992,,Q,Ryan Harrison,R,185.0,USA,18.6,6-2 6-4,3,R32,66.0,8.0,3.0,52.0,32.0,26.0,13.0,9.0,1.0,1.0,4.0,1.0,50.0,27.0,16.0,12.0,9.0,1.0,4.0,5.0,5580.0,173.0,309.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,2,103582,,,Michael Berrer,L,193.0,GER,30.5,104534,,,Dudi Sela,R,175.0,ISR,25.7,1-6 7-6(3) 6-2,3,R32,152.0,9.0,3.0,99.0,54.0,34.0,28.0,13.0,8.0,10.0,16.0,4.0,103.0,59.0,42.0,20.0,14.0,3.0,5.0,58.0,835.0,75.0,643.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,3,105051,,Q,Matthew Ebden,R,188.0,AUS,23.1,105357,,WC,John Millman,R,183.0,AUS,21.5,4-6 6-2 6-4,3,R32,104.0,12.0,1.0,85.0,63.0,46.0,9.0,14.0,1.0,3.0,4.0,3.0,76.0,58.0,42.0,6.0,14.0,4.0,8.0,196.0,263.0,204.0,243.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,4,104797,8.0,,Denis Istomin,R,185.0,UZB,24.3,105217,,,Thiemo De Bakker,R,193.0,NED,22.2,7-6(5) 6-4,3,R32,93.0,6.0,1.0,63.0,43.0,33.0,16.0,11.0,2.0,2.0,10.0,1.0,72.0,43.0,31.0,17.0,11.0,2.0,3.0,40.0,1031.0,43.0,975.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,5,103888,4.0,,Mardy Fish,R,188.0,USA,29.0,105173,,Q,Adrian Mannarino,L,180.0,FRA,22.5,6-1 6-4,3,R32,79.0,11.0,0.0,51.0,28.0,23.0,16.0,9.0,1.0,1.0,1.0,6.0,68.0,37.0,24.0,11.0,8.0,3.0,6.0,16.0,1991.0,83.0,600.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,6,103285,,,Radek Stepanek,R,185.0,CZE,32.1,104735,,,Tobias Kamke,R,180.0,GER,24.6,5-7 6-1 6-4,3,R32,124.0,7.0,3.0,80.0,47.0,37.0,16.0,15.0,2.0,5.0,4.0,7.0,87.0,50.0,33.0,19.0,14.0,5.0,10.0,62.0,795.0,67.0,724.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,7,105575,,Q,Ricardas Berankis,R,175.0,LTU,20.5,103096,,,Arnaud Clement,R,173.0,FRA,33.0,6-4 6-3,3,R32,86.0,8.0,2.0,55.0,30.0,24.0,13.0,9.0,1.0,2.0,6.0,3.0,64.0,37.0,26.0,11.0,10.0,5.0,9.0,87.0,587.0,78.0,627.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,8,104252,7.0,,Florian Mayer,R,190.0,GER,27.2,106071,,WC,Bernard Tomic,R,196.0,AUS,18.2,6-2 6-2,3,R32,55.0,12.0,0.0,35.0,25.0,23.0,9.0,8.0,0.0,0.0,5.0,0.0,58.0,34.0,22.0,6.0,8.0,1.0,5.0,37.0,1128.0,208.0,239.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,9,103852,6.0,,Feliciano Lopez,L,188.0,ESP,29.2,104332,,,Philipp Petzschner,R,185.0,GER,26.7,6-4 7-6(11),3,R32,100.0,11.0,7.0,77.0,39.0,33.0,21.0,11.0,4.0,5.0,9.0,5.0,68.0,30.0,25.0,22.0,11.0,0.0,2.0,32.0,1300.0,57.0,839.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,10,104731,,,Kevin Anderson,R,203.0,RSA,24.6,103429,,LL,Peter Luczak,R,183.0,AUS,31.3,6-4 6-4,3,R32,72.0,18.0,0.0,44.0,33.0,31.0,9.0,10.0,0.0,0.0,4.0,2.0,58.0,41.0,28.0,10.0,10.0,1.0,3.0,61.0,813.0,137.0,400.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,11,105053,,,Santiago Giraldo,R,188.0,COL,23.1,104468,,,Gilles Simon,R,183.0,FRA,26.0,6-2 6-3,3,R32,86.0,2.0,0.0,74.0,57.0,37.0,9.0,8.0,5.0,5.0,5.0,2.0,53.0,30.0,22.0,8.0,9.0,1.0,5.0,64.0,785.0,41.0,1005.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,12,103794,,,Benjamin Becker,R,178.0,GER,29.5,104269,3.0,,Fernando Verdasco,L,188.0,ESP,27.1,6-1 6-7(2) 6-3,3,R32,133.0,6.0,4.0,99.0,53.0,42.0,23.0,15.0,6.0,7.0,10.0,5.0,78.0,47.0,34.0,14.0,13.0,1.0,5.0,53.0,877.0,9.0,3240.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,13,104571,5.0,,Marcos Baghdatis,R,183.0,CYP,25.5,103722,,,Florent Serra,R,180.0,FRA,29.8,3-6 7-5 6-4,3,R32,142.0,13.0,2.0,91.0,46.0,35.0,22.0,15.0,3.0,6.0,7.0,2.0,103.0,62.0,44.0,19.0,16.0,4.0,8.0,20.0,1785.0,69.0,715.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,14,103997,,,Lukasz Kubot,R,191.0,POL,28.6,104978,,,Daniel Brands,R,196.0,GER,23.4,6-2 6-2,3,R32,70.0,7.0,1.0,51.0,31.0,24.0,13.0,8.0,6.0,6.0,6.0,4.0,45.0,29.0,16.0,7.0,8.0,1.0,5.0,70.0,695.0,104.0,541.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,15,105238,,,Alexandr Dolgopolov,R,180.0,UKR,22.1,104214,,,Igor Andreev,R,185.0,RUS,27.4,6-4 6-2,3,R32,67.0,7.0,3.0,55.0,29.0,26.0,14.0,9.0,1.0,1.0,2.0,1.0,55.0,34.0,22.0,9.0,9.0,5.0,8.0,48.0,940.0,79.0,622.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,16,104053,2.0,,Andy Roddick,R,188.0,USA,28.3,104594,,WC,Marinko Matosevic,R,194.0,AUS,25.4,6-3 6-2,3,R32,73.0,5.0,1.0,47.0,29.0,23.0,13.0,9.0,3.0,4.0,2.0,0.0,48.0,22.0,12.0,12.0,8.0,2.0,6.0,8.0,3665.0,138.0,398.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,17,104417,1.0,,Robin Soderling,R,193.0,SWE,26.3,103582,,,Michael Berrer,L,193.0,GER,30.5,6-3 7-6(7),3,R16,96.0,9.0,1.0,74.0,51.0,40.0,13.0,11.0,2.0,2.0,8.0,1.0,68.0,43.0,32.0,14.0,10.0,2.0,3.0,5.0,5580.0,58.0,835.0,atp_matches_2011.csv
2011-339,Brisbane,Hard,32,A,20110102,18,105051,,Q,Matthew Ebden,R,188.0,AUS,23.1,104797,8.0,,Denis Istomin,R,185.0,UZB,24.3,6-4 6-4,3,R16,73.0,5.0,1.0,62.0,45.0,32.0,7.0,10.0,0.0,2.0,1.0,7.0,56.0,30.0,18.0,14.0,10.0,1.0,5.0,196.0,263.0,40.0,1031.0,atp_matches_2011.csv
