tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2013-339,Brisbane,Hard,28,A,20121230,1,105357,,Q,John Millman,R,183.0,AUS,23.5,105147,,,Tatsuma Ito,R,180.0,JPN,24.6,6-4 6-1,3,R32,86.0,7.0,6.0,69.0,44.0,33.0,11.0,9.0,3.0,4.0,2.0,5.0,53.0,26.0,19.0,8.0,8.0,3.0,7.0,199.0,239.0,79.0,655.0,atp_matches_2013.csv
2013-339,Brisbane,Hard,28,A,20121230,2,103720,,WC,Lleyton Hewitt,R,180.0,AUS,31.8,103857,,LL,Igor Kunitsyn,R,180.0,RUS,31.2,6-3 4-6 6-2,3,R32,124.0,8.0,2.0,69.0,34.0,29.0,21.0,13.0,1.0,2.0,7.0,5.0,99.0,53.0,37.0,19.0,14.0,6.0,10.0,83.0,625.0,162.0,339.0,atp_matches_2013.csv
2013-339,Brisbane,Hard,28,A,20121230,3,104797,,,Denis Istomin,R,185.0,UZB,26.3,105373,8.0,,Martin Klizan,L,191.0,SVK,23.4,6-1 6-2,3,R32,70.0,6.0,2.0,53.0,33.0,28.0,8.0,8.0,2.0,2.0,3.0,3.0,57.0,31.0,19.0,9.0,7.0,9.0,13.0,43.0,897.0,30.0,1175.0,atp_matches_2013.csv
2013-339,Brisbane,Hard,28,A,20121230,4,103813,,,Jarkko Nieminen,L,185.0,FIN,31.4,103898,,,Julien Benneteau,R,185.0,FRA,31.0,6-3 2-6 6-1,3,R32,104.0,4.0,1.0,94.0,63.0,40.0,15.0,12.0,8.0,11.0,6.0,6.0,70.0,48.0,29.0,7.0,12.0,1.0,6.0,41.0,927.0,35.0,1075.0,atp_matches_2013.csv
2013-339,Brisbane,Hard,28,A,20121230,5,103990,,,Tommy Robredo,R,180.0,ESP,30.6,105992,,Q,Ryan Harrison,R,185.0,USA,20.6,6-4 7-6(4),3,R32,96.0,6.0,0.0,64.0,50.0,43.0,8.0,11.0,1.0,1.0,4.0,1.0,68.0,39.0,26.0,20.0,11.0,0.0,1.0,114.0,495.0,69.0,710.0,atp_matches_2013.csv
2013-339,Brisbane,Hard,28,A,20121230,6,105453,5.0,,Kei Nishikori,R,178.0,JPN,23.0,104594,,,Marinko Matosevic,R,194.0,AUS,27.3,7-5 6-2,3,R32,102.0,2.0,0.0,72.0,45.0,29.0,17.0,10.0,4.0,5.0,3.0,1.0,70.0,37.0,25.0,13.0,10.0,3.0,7.0,19.0,1830.0,49.0,845.0,atp_matches_2013.csv
2013-339,Brisbane,Hard,28,A,20121230,7,104252,6.0,,Florian Mayer,R,190.0,GER,29.2,105053,,,Santiago Giraldo,R,188.0,COL,25.0,6-4 6-4,3,R32,65.0,6.0,1.0,50.0,33.0,27.0,14.0,10.0,0.0,0.0,3.0,0.0,54.0,40.0,30.0,7.0,10.0,0.0,2.0,28.0,1215.0,57.0,778.0,atp_matches_2013.csv
2013-339,Brisbane,Hard,28,A,20121230,8,104571,,,Marcos Baghdatis,R,183.0,CYP,27.5,106093,,WC,Benjamin Mitchell,R,183.0,AUS,20.0,6-4 6-4,3,R32,77.0,5.0,1.0,60.0,35.0,30.0,14.0,10.0,4.0,4.0,5.0,1.0,57.0,35.0,28.0,10.0,10.0,0.0,2.0,36.0,1070.0,327.0,137.0,atp_matches_2013.csv
2013-339,Brisbane,Hard,28,A,20121230,9,104268,,,Alejandro Falla,L,185.0,COL,29.1,105028,,Q,Jesse Levine,L,175.0,CAN,25.2,6-1 7-6(8),3,R32,78.0,11.0,1.0,59.0,46.0,40.0,8.0,10.0,0.0,0.0,5.0,2.0,74.0,45.0,29.0,16.0,9.0,8.0,10.0,54.0,809.0,104.0,530.0,atp_matches_2013.csv
2013-339,Brisbane,Hard,28,A,20121230,10,103781,7.0,,Jurgen Melzer,L,183.0,AUT,31.6,106045,,Q,Denis Kudla,R,180.0,USA,20.3,2-6 6-4 6-4,3,R32,107.0,5.0,1.0,78.0,55.0,40.0,12.0,14.0,3.0,6.0,3.0,3.0,91.0,48.0,37.0,20.0,14.0,4.0,7.0,29.0,1177.0,137.0,402.0,atp_matches_2013.csv
