tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2014-1536,Madrid Masters,Clay,56,M,20140504,701,105053,1.0,,Santiago Giraldo,R,188.0,COL,26.4,105539,,,Evgeny Donskoy,R,185.0,RUS,23.9,6-3 6-2,3,Q1,58.0,3.0,0.0,46.0,32.0,29.0,8.0,9.0,0.0,0.0,2.0,2.0,45.0,27.0,16.0,9.0,8.0,1.0,4.0,46.0,983.0,95.0,598.0,atp_matches_qual_chall_2014.csv
2014-1536,Madrid Masters,Clay,56,M,20140504,702,104735,,,Tobias Kamke,R,180.0,GER,27.9,104873,10.0,,Aleksandr Nedovyesov,R,188.0,KAZ,27.2,6-4 4-0 RET,3,Q1,54.0,1.0,0.0,39.0,27.0,20.0,9.0,7.0,0.0,0.0,2.0,2.0,48.0,32.0,20.0,7.0,7.0,3.0,6.0,94.0,601.0,81.0,642.0,atp_matches_qual_chall_2014.csv
2014-1536,Madrid Masters,Clay,56,M,20140504,703,105992,,,Ryan Harrison,R,185.0,USA,21.9,103898,2.0,,Julien Benneteau,R,185.0,FRA,32.3,6-3 6-4,3,Q1,77.0,5.0,0.0,58.0,33.0,28.0,14.0,10.0,4.0,4.0,3.0,7.0,66.0,38.0,26.0,13.0,9.0,5.0,7.0,133.0,439.0,48.0,970.0,atp_matches_qual_chall_2014.csv
2014-1536,Madrid Masters,Clay,56,M,20140504,704,103908,14.0,,Paul Henri Mathieu,R,185.0,FRA,32.3,103926,,WC,Daniel Munoz de la Nava,L,178.0,ESP,32.2,7-5 6-3,3,Q1,96.0,1.0,0.0,63.0,38.0,28.0,14.0,11.0,3.0,5.0,0.0,0.0,69.0,48.0,29.0,9.0,10.0,4.0,8.0,87.0,626.0,305.0,149.0,atp_matches_qual_chall_2014.csv
2014-1536,Madrid Masters,Clay,56,M,20140504,705,104559,3.0,,Teymuraz Gabashvili,R,185.0,RUS,28.9,106298,,WC,Lucas Pouille,R,185.0,FRA,20.1,6-2 6-4,3,Q1,71.0,0.0,1.0,46.0,30.0,26.0,10.0,9.0,0.0,0.0,2.0,1.0,70.0,46.0,29.0,11.0,9.0,8.0,11.0,53.0,903.0,189.0,271.0,atp_matches_qual_chall_2014.csv
2014-1536,Madrid Masters,Clay,56,M,20140504,706,103997,11.0,,Lukasz Kubot,R,191.0,POL,31.9,105137,,,Pere Riba,R,183.0,ESP,26.0,6-1 7-6(5),3,Q1,90.0,2.0,4.0,63.0,44.0,34.0,7.0,9.0,2.0,4.0,3.0,1.0,74.0,51.0,30.0,6.0,10.0,5.0,10.0,78.0,654.0,96.0,596.0,atp_matches_qual_chall_2014.csv
2014-1536,Madrid Masters,Clay,56,M,20140504,707,104997,4.0,,Igor Sijsling,R,191.0,NED,26.7,105173,,,Adrian Mannarino,L,180.0,FRA,25.8,6-1 6-1,3,Q1,53.0,5.0,0.0,33.0,22.0,18.0,10.0,7.0,0.0,0.0,2.0,3.0,71.0,42.0,26.0,6.0,7.0,7.0,12.0,59.0,831.0,99.0,591.0,atp_matches_qual_chall_2014.csv
2014-1536,Madrid Masters,Clay,56,M,20140504,708,105064,,,Thomaz Bellucci,L,188.0,BRA,26.3,104268,9.0,,Alejandro Falla,L,185.0,COL,30.4,6-3 1-6 6-3,3,Q1,100.0,2.0,4.0,75.0,32.0,23.0,22.0,13.0,7.0,11.0,1.0,2.0,86.0,46.0,31.0,17.0,12.0,11.0,15.0,111.0,524.0,71.0,687.0,atp_matches_qual_chall_2014.csv
2014-1536,Madrid Masters,Clay,56,M,20140504,709,104979,5.0,,Andrey Golubev,R,180.0,KAZ,26.7,106148,,WC,Roberto Carballes Baena,R,183.0,ESP,21.1,6-4 6-4,3,Q1,86.0,4.0,1.0,57.0,34.0,26.0,11.0,10.0,1.0,3.0,0.0,4.0,62.0,35.0,22.0,12.0,10.0,4.0,8.0,61.0,810.0,187.0,275.0,atp_matches_qual_chall_2014.csv
2014-1536,Madrid Masters,Clay,56,M,20140504,710,105292,13.0,,Alejandro Gonzalez,R,190.0,COL,25.2,105438,,WC,Inigo Cervantes Huegun,R,180.0,ESP,24.4,6-4 6-2,3,Q1,83.0,1.0,0.0,65.0,42.0,30.0,14.0,9.0,4.0,4.0,3.0,4.0,59.0,28.0,21.0,12.0,9.0,3.0,6.0,83.0,637.0,518.0,65.0,atp_matches_qual_chall_2014.csv
