tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2020-0083,Eckental CH,Hard,32,C,20201102,243,122351,5.0,,Johannes Haerteis,L,196.0,GER,24.6,202279,,Alt,Leopold Zima,R,185.0,GER,20.4,6-0 6-3,3,Q1,55.0,4.0,4.0,44.0,31.0,24.0,9.0,8.0,1.0,1.0,2.0,3.0,45.0,21.0,14.0,8.0,7.0,3.0,7.0,329.0,129.0,1314.0,4.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,244,127760,4.0,,Lukas Klein,R,193.0,SVK,22.6,144985,,Alt,Ergi Kirkin,R,180.0,TUR,21.7,6-3 6-4,3,Q1,65.0,7.0,3.0,71.0,45.0,34.0,14.0,10.0,6.0,6.0,3.0,3.0,53.0,32.0,23.0,11.0,9.0,2.0,4.0,315.0,138.0,507.0,63.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,245,207213,7.0,,Duje Ajdukovic,R,188.0,CRO,19.7,208328,,WC,Max Wiskandt,R,191.0,GER,18.7,4-6 6-4 7-6(5),3,Q1,125.0,3.0,3.0,87.0,54.0,39.0,14.0,16.0,2.0,8.0,6.0,10.0,126.0,68.0,45.0,25.0,16.0,7.0,13.0,386.0,101.0,,,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,247,202359,,Alt,Marvin Moeller,R,178.0,GER,21.7,208103,6.0,,Jiri Lehecka,R,185.0,CZE,18.9,6-3 6-4,3,Q1,61.0,9.0,1.0,44.0,32.0,27.0,7.0,9.0,0.0,1.0,6.0,0.0,54.0,23.0,17.0,15.0,10.0,3.0,7.0,1495.0,2.0,355.0,114.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,248,104897,2.0,,Matthias Bachinger,R,188.0,GER,33.5,105778,,,Tobias Simon,R,,GER,29.4,7-6(5) 6-4,3,Q1,78.0,13.0,8.0,66.0,34.0,32.0,18.0,11.0,0.0,0.0,16.0,9.0,74.0,38.0,34.0,17.0,11.0,6.0,7.0,278.0,180.0,403.0,94.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,249,105786,,WC,Tom Schonenberg,R,185.0,GER,29.3,202262,8.0,,Filip Cristian Jianu,R,180.0,ROU,19.1,6-2 6-3,3,Q1,74.0,2.0,4.0,41.0,19.0,17.0,16.0,8.0,1.0,1.0,1.0,1.0,94.0,64.0,35.0,14.0,9.0,16.0,20.0,,,391.0,100.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,251,122351,5.0,,Johannes Haerteis,L,196.0,GER,24.6,127760,4.0,,Lukas Klein,R,193.0,SVK,22.6,6-1 6-4,3,Q2,62.0,6.0,4.0,61.0,41.0,30.0,11.0,9.0,5.0,6.0,5.0,4.0,51.0,31.0,17.0,8.0,8.0,4.0,8.0,329.0,129.0,315.0,138.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,253,202359,,Alt,Marvin Moeller,R,178.0,GER,21.7,104897,2.0,,Matthias Bachinger,R,188.0,GER,33.5,6-1 4-6 7-5,3,Q2,130.0,6.0,6.0,119.0,66.0,50.0,20.0,14.0,14.0,17.0,11.0,6.0,94.0,53.0,38.0,15.0,15.0,3.0,9.0,1495.0,2.0,278.0,180.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,254,144972,1.0,,Geoffrey Blancaneaux,R,180.0,FRA,22.2,105786,,WC,Tom Schonenberg,R,185.0,GER,29.3,6-3 7-6(3),3,Q2,90.0,13.0,5.0,69.0,39.0,33.0,16.0,11.0,4.0,5.0,1.0,2.0,72.0,32.0,22.0,20.0,10.0,6.0,8.0,281.0,177.0,,,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,270,200615,2.0,,Alexei Popyrin,R,196.0,AUS,21.2,111790,,,Brayden Schnur,R,193.0,CAN,25.3,6-1 6-4,3,R32,49.0,10.0,2.0,45.0,27.0,23.0,13.0,9.0,0.0,0.0,2.0,1.0,44.0,20.0,16.0,10.0,8.0,2.0,5.0,110.0,613.0,201.0,301.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,271,144645,,,Zdenek Kolar,R,183.0,CZE,24.0,144972,,Q,Geoffrey Blancaneaux,R,180.0,FRA,22.2,7-6(5) 6-3,3,R32,83.0,1.0,3.0,65.0,38.0,29.0,18.0,11.0,0.0,0.0,7.0,4.0,64.0,44.0,32.0,9.0,10.0,4.0,5.0,229.0,249.0,281.0,177.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,272,122351,,Q,Johannes Haerteis,L,196.0,GER,24.6,120424,,,Yannick Maden,R,185.0,GER,31.0,6-2 4-6 6-3,3,R32,113.0,6.0,5.0,89.0,54.0,39.0,17.0,14.0,5.0,8.0,4.0,3.0,86.0,51.0,29.0,17.0,13.0,6.0,11.0,329.0,129.0,167.0,378.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,273,200624,7.0,,Sebastian Korda,R,196.0,USA,20.3,207830,,,Tomas Machac,R,183.0,CZE,20.0,7-6(0) 6-1,3,R32,70.0,7.0,7.0,57.0,34.0,26.0,10.0,9.0,5.0,7.0,2.0,4.0,69.0,39.0,21.0,11.0,10.0,4.0,9.0,136.0,466.0,215.0,267.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,274,125802,3.0,,Ilya Ivashka,R,193.0,BLR,26.6,104460,,PR,Dustin Brown,R,196.0,JAM,35.9,6-2 7-5,3,R32,75.0,15.0,4.0,65.0,43.0,32.0,11.0,10.0,4.0,5.0,7.0,6.0,78.0,42.0,34.0,9.0,10.0,5.0,9.0,115.0,573.0,256.0,209.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,275,200514,,,Jurij Rodionov,L,191.0,AUT,21.4,105208,,,Ernests Gulbis,R,190.0,LAT,32.1,3-6 6-3 6-4,3,R32,93.0,12.0,5.0,75.0,44.0,40.0,13.0,14.0,1.0,3.0,17.0,11.0,87.0,46.0,35.0,19.0,14.0,4.0,7.0,143.0,450.0,177.0,351.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,276,144817,,,Marc Andrea Huesler,L,196.0,SUI,24.3,109739,,WC,Maximilian Marterer,L,188.0,GER,25.3,3-6 7-5 6-4,3,R32,103.0,15.0,3.0,72.0,46.0,39.0,20.0,15.0,2.0,3.0,6.0,2.0,83.0,42.0,31.0,28.0,16.0,0.0,2.0,156.0,405.0,241.0,220.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,277,104897,,LL,Matthias Bachinger,R,188.0,GER,33.5,109699,,Alt,Julian Lenz,R,188.0,GER,27.7,4-6 7-6(4) 6-1,3,R32,126.0,13.0,7.0,101.0,61.0,48.0,16.0,14.0,9.0,12.0,4.0,3.0,102.0,55.0,37.0,22.0,15.0,7.0,12.0,278.0,180.0,258.0,209.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,278,105655,,,Hiroki Moriya,R,168.0,JPN,30.0,126156,5.0,,Antoine Hoang,R,183.0,FRA,24.9,6-4 5-7 6-2,3,R32,158.0,2.0,3.0,91.0,56.0,38.0,21.0,15.0,5.0,8.0,4.0,11.0,112.0,65.0,47.0,16.0,15.0,5.0,10.0,246.0,219.0,129.0,487.0,atp_matches_qual_chall_2020.csv
2020-0083,Eckental CH,Hard,32,C,20201102,279,106368,,,Ramkumar Ramanathan,R,188.0,IND,25.9,207213,,Q,Duje Ajdukovic,R,188.0,CRO,19.7,6-4 6-2,3,R32,60.0,9.0,4.0,52.0,30.0,27.0,12.0,9.0,4.0,4.0,2.0,1.0,60.0,35.0,24.0,11.0,9.0,2.0,5.0,206.0,285.0,386.0,101.0,atp_matches_qual_chall_2020.csv
