tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2013-1536,Madrid Masters,Clay,56,M,20130505,701,104594,1.0,,Marinko Matosevic,R,194.0,AUS,27.7,105292,,,Alejandro Gonzalez,R,190.0,COL,24.2,4-6 7-6(5) 4-4 RET,3,Q1,164.0,5.0,3.0,117.0,70.0,48.0,21.0,15.0,11.0,15.0,3.0,1.0,109.0,67.0,45.0,22.0,15.0,5.0,8.0,55.0,815.0,148.0,357.0,atp_matches_qual_chall_2013.csv
2013-1536,Madrid Masters,Clay,56,M,20130505,702,104735,10.0,,Tobias Kamke,R,180.0,GER,26.9,105529,,WC,Carlos Gomez Herrera,R,191.0,ESP,23.0,6-3 6-1,3,Q1,65.0,4.0,0.0,44.0,32.0,25.0,7.0,8.0,0.0,0.0,1.0,2.0,55.0,38.0,18.0,10.0,8.0,7.0,11.0,76.0,651.0,440.0,80.0,atp_matches_qual_chall_2013.csv
2013-1536,Madrid Masters,Clay,56,M,20130505,703,103598,2.0,,Xavier Malisse,R,185.0,BEL,32.7,103926,,,Daniel Munoz de la Nava,L,178.0,ESP,31.2,1-6 7-6(6) 6-2,3,Q1,124.0,9.0,2.0,92.0,55.0,42.0,12.0,13.0,3.0,6.0,1.0,4.0,87.0,51.0,35.0,18.0,14.0,2.0,5.0,56.0,796.0,144.0,383.0,atp_matches_qual_chall_2013.csv
2013-1536,Madrid Masters,Clay,56,M,20130505,704,105137,,WC,Pere Riba,R,183.0,ESP,25.0,105539,11.0,,Evgeny Donskoy,R,185.0,RUS,22.9,5-7 7-5 6-3,3,Q1,144.0,8.0,4.0,101.0,54.0,46.0,16.0,16.0,5.0,9.0,4.0,3.0,116.0,77.0,48.0,18.0,17.0,8.0,14.0,714.0,25.0,79.0,639.0,atp_matches_qual_chall_2013.csv
2013-1536,Madrid Masters,Clay,56,M,20130505,705,103566,3.0,,Michael Llodra,L,190.0,FRA,32.9,103997,,,Lukasz Kubot,R,191.0,POL,30.9,6-7(3) 6-4 7-5,3,Q1,131.0,8.0,3.0,100.0,57.0,45.0,22.0,17.0,5.0,8.0,6.0,3.0,101.0,69.0,51.0,12.0,17.0,5.0,10.0,61.0,753.0,96.0,547.0,atp_matches_qual_chall_2013.csv
2013-1536,Madrid Masters,Clay,56,M,20130505,706,104898,8.0,,Robin Haase,R,191.0,NED,26.0,106400,,WC,Adam Sanjurjo Hermida,R,,ESP,18.0,6-1 6-3,3,Q1,74.0,1.0,1.0,51.0,34.0,27.0,11.0,8.0,7.0,7.0,0.0,4.0,70.0,45.0,25.0,11.0,8.0,5.0,9.0,77.0,647.0,753.0,22.0,atp_matches_qual_chall_2013.csv
2013-1536,Madrid Masters,Clay,56,M,20130505,707,104660,,,Sergiy Stakhovsky,R,193.0,UKR,27.3,104122,4.0,,Carlos Berlocq,R,183.0,ARG,30.2,6-7(5) 6-4 7-6(7),3,Q1,182.0,5.0,0.0,119.0,83.0,61.0,19.0,17.0,4.0,5.0,0.0,2.0,135.0,105.0,73.0,12.0,17.0,8.0,10.0,93.0,558.0,63.0,740.0,atp_matches_qual_chall_2013.csv
2013-1536,Madrid Masters,Clay,56,M,20130505,708,105053,12.0,,Santiago Giraldo,R,188.0,COL,25.4,105311,,,Joao Sousa,R,185.0,POR,24.1,6-2 6-2,3,Q1,59.0,2.0,2.0,49.0,31.0,25.0,10.0,8.0,2.0,2.0,2.0,2.0,44.0,22.0,16.0,8.0,8.0,0.0,4.0,81.0,615.0,123.0,441.0,atp_matches_qual_chall_2013.csv
2013-1536,Madrid Masters,Clay,56,M,20130505,709,105154,,,Joao Souza,R,193.0,BRA,24.9,104268,5.0,,Alejandro Falla,L,185.0,COL,29.4,6-1 6-7(2) 6-3,3,Q1,141.0,5.0,7.0,104.0,59.0,44.0,18.0,15.0,6.0,8.0,4.0,2.0,85.0,42.0,31.0,20.0,13.0,7.0,12.0,121.0,450.0,66.0,726.0,atp_matches_qual_chall_2013.csv
2013-1536,Madrid Masters,Clay,56,M,20130505,710,103908,9.0,,Paul Henri Mathieu,R,185.0,FRA,31.3,105671,,,Gastao Elias,R,180.0,POR,22.4,6-3 7-6(4),3,Q1,102.0,4.0,2.0,80.0,46.0,37.0,14.0,11.0,4.0,6.0,2.0,7.0,73.0,41.0,26.0,17.0,10.0,2.0,5.0,75.0,658.0,103.0,518.0,atp_matches_qual_chall_2013.csv
2013-1536,Madrid Masters,Clay,56,M,20130505,711,104198,6.0,,Guillermo Garcia Lopez,R,188.0,ESP,29.9,104214,,,Igor Andreev,R,185.0,RUS,29.8,6-1 6-3,3,Q1,62.0,0.0,5.0,42.0,26.0,17.0,10.0,8.0,3.0,5.0,1.0,3.0,52.0,38.0,18.0,4.0,8.0,6.0,12.0,68.0,686.0,276.0,167.0,atp_matches_qual_chall_2013.csv
2013-1536,Madrid Masters,Clay,56,M,20130505,712,103105,,,Ruben Ramirez Hidalgo,R,183.0,ESP,35.3,105558,13.0,,Guillaume Rufin,R,188.0,FRA,22.9,7-6(4) 6-1,3,Q1,78.0,3.0,3.0,57.0,34.0,26.0,12.0,10.0,1.0,3.0,1.0,4.0,62.0,32.0,21.0,11.0,9.0,4.0,8.0,131.0,421.0,98.0,541.0,atp_matches_qual_chall_2013.csv
2013-1536,Madrid Masters,Clay,56,M,20130505,713,104997,7.0,,Igor Sijsling,R,191.0,NED,25.7,104516,,WC,Arnau Brugues Davi,L,183.0,ESP,28.1,4-6 6-3 6-4,3,Q1,84.0,14.0,1.0,75.0,50.0,44.0,15.0,15.0,1.0,2.0,2.0,2.0,82.0,53.0,36.0,19.0,14.0,1.0,3.0,69.0,682.0,172.0,299.0,atp_matches_qual_chall_2013.csv
2013-1536,Madrid Masters,Clay,56,M,20130505,714,105028,14.0,,Jesse Levine,L,175.0,CAN,25.5,104262,,,Flavio Cipolla,R,173.0,ITA,29.5,6-1 3-6 6-3,3,Q1,94.0,2.0,5.0,72.0,33.0,22.0,21.0,13.0,1.0,5.0,2.0,6.0,71.0,54.0,28.0,8.0,12.0,4.0,10.0,92.0,561.0,139.0,396.0,atp_matches_qual_chall_2013.csv
