tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2023-0059,Salinas CH,Hard,32,C,20230724,237,106254,,Alt,Calum Puttergill,R,183.0,AUS,29.7,138485,11.0,,Conner Huertas Del Pino,R,188.0,PER,27.5,6-2 6-3,3,Q1,88.0,0.0,2.0,60.0,41.0,27.0,10.0,8.0,2.0,3.0,5.0,3.0,63.0,37.0,21.0,10.0,9.0,4.0,9.0,764.0,30.0,665.0,43.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,238,209226,6.0,,Adolfo Daniel Vallejo,R,183.0,PAR,19.2,210304,,WC,Miguel Larrea Sicco,U,,ECU,18.3,6-1 6-0,3,Q1,44.0,3.0,1.0,33.0,17.0,16.0,12.0,7.0,0.0,0.0,1.0,6.0,32.0,12.0,5.0,4.0,6.0,2.0,7.0,494.0,79.0,,,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,239,123896,10.0,,Matija Pecotic,L,185.0,CRO,34.0,127443,,Alt,Andres Urrea,R,175.0,COL,28.8,6-1 6-1,3,Q1,67.0,0.0,0.0,45.0,31.0,24.0,8.0,7.0,2.0,2.0,1.0,6.0,48.0,34.0,18.0,2.0,7.0,0.0,5.0,611.0,51.0,1763.0,1.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,240,134329,5.0,,Blake Ellis,R,191.0,AUS,24.5,200253,,Alt,Alejandro Hoyos Franco,R,180.0,COL,23.8,6-3 6-2,3,Q1,71.0,7.0,1.0,47.0,29.0,25.0,13.0,9.0,1.0,1.0,0.0,1.0,56.0,37.0,23.0,7.0,8.0,0.0,3.0,468.0,90.0,702.0,37.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,242,132041,4.0,,Alfredo Perez,R,193.0,USA,26.1,208370,,,Keenan Mayo,R,198.0,USA,23.1,6-2 6-3,3,Q1,85.0,5.0,2.0,53.0,38.0,30.0,9.0,9.0,2.0,2.0,1.0,3.0,59.0,28.0,19.0,12.0,8.0,6.0,9.0,463.0,91.0,1763.0,1.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,244,207736,,,Arklon Huertas Del Pino,R,183.0,PER,29.0,106410,3.0,,Jorge Brian Panta Herreros,R,3.0,PER,28.0,7-6(7) 6-3,3,Q1,127.0,7.0,0.0,72.0,46.0,34.0,17.0,10.0,6.0,7.0,2.0,1.0,90.0,54.0,33.0,20.0,11.0,7.0,10.0,691.0,39.0,467.0,90.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,245,105944,,Alt,Juan Sebastian Gomez,R,,COL,31.3,202275,12.0,,Fermin Tenti,R,181.0,ARG,26.1,4-6 6-2 6-1,3,Q1,139.0,0.0,2.0,84.0,57.0,37.0,15.0,12.0,5.0,7.0,1.0,1.0,75.0,54.0,28.0,8.0,13.0,3.0,9.0,992.0,12.0,681.0,41.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,247,209060,,,Alexander Bernard,L,175.0,USA,19.9,207130,9.0,,Matias Soto,R,170.0,CHI,24.2,6-4 6-4,3,Q1,87.0,4.0,0.0,61.0,41.0,29.0,9.0,10.0,5.0,7.0,2.0,2.0,59.0,35.0,19.0,12.0,10.0,4.0,8.0,725.0,34.0,532.0,68.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,249,209226,6.0,,Adolfo Daniel Vallejo,R,183.0,PAR,19.2,106254,,Alt,Calum Puttergill,R,183.0,AUS,29.7,6-3 6-1,3,Q2,79.0,1.0,4.0,54.0,36.0,22.0,10.0,8.0,4.0,7.0,1.0,2.0,51.0,27.0,11.0,7.0,8.0,6.0,13.0,494.0,79.0,764.0,30.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,250,123896,10.0,,Matija Pecotic,L,185.0,CRO,34.0,134329,5.0,,Blake Ellis,R,191.0,AUS,24.5,6-3 4-6 6-1,3,Q2,121.0,5.0,1.0,72.0,48.0,35.0,16.0,13.0,0.0,1.0,5.0,3.0,85.0,41.0,23.0,24.0,13.0,7.0,11.0,611.0,51.0,468.0,90.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,251,207729,7.0,,Tristan Boyer,R,188.0,USA,22.2,132041,4.0,,Alfredo Perez,R,193.0,USA,26.1,6-1 6-3,3,Q2,86.0,3.0,1.0,45.0,37.0,26.0,6.0,8.0,3.0,4.0,0.0,3.0,58.0,38.0,19.0,8.0,8.0,7.0,12.0,502.0,76.0,463.0,91.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,252,127123,8.0,,Mateus Alves,R,193.0,BRA,22.4,207736,,,Arklon Huertas Del Pino,R,183.0,PER,29.0,6-1 7-5,3,Q2,77.0,2.0,2.0,48.0,31.0,29.0,12.0,10.0,2.0,2.0,5.0,1.0,54.0,32.0,20.0,11.0,9.0,0.0,3.0,503.0,76.0,691.0,39.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,253,102093,2.0,,Martin Damm,L,203.0,USA,19.8,105944,,Alt,Juan Sebastian Gomez,R,,COL,31.3,6-3 6-1,3,Q2,66.0,10.0,6.0,63.0,38.0,30.0,9.0,8.0,4.0,5.0,0.0,3.0,44.0,24.0,14.0,6.0,8.0,1.0,6.0,435.0,100.0,992.0,12.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,254,209060,,,Alexander Bernard,L,175.0,USA,19.9,132054,1.0,,Nathan Ponwith,R,188.0,USA,25.2,6-2 7-5,3,Q2,104.0,2.0,1.0,64.0,40.0,32.0,15.0,10.0,4.0,4.0,1.0,5.0,65.0,44.0,29.0,8.0,10.0,5.0,8.0,725.0,34.0,420.0,108.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,270,200677,2.0,,Rio Noguchi,R,168.0,JPN,24.5,209226,,Q,Adolfo Daniel Vallejo,R,183.0,PAR,19.2,6-4 7-5,3,R32,98.0,4.0,1.0,75.0,48.0,32.0,15.0,11.0,4.0,6.0,0.0,2.0,62.0,35.0,28.0,9.0,11.0,3.0,7.0,231.0,258.0,494.0,79.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,271,200748,,,Andres Andrade,R,180.0,ECU,24.6,209060,,Q,Alexander Bernard,L,175.0,USA,19.9,6-2 6-2,3,R32,72.0,4.0,1.0,46.0,28.0,20.0,12.0,8.0,4.0,5.0,0.0,1.0,50.0,37.0,19.0,5.0,8.0,2.0,7.0,571.0,60.0,725.0,34.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,272,105011,,,Illya Marchenko,R,185.0,UKR,35.8,208300,,,Omni Kumar,L,173.0,USA,21.7,3-6 6-3 6-4,3,R32,141.0,8.0,5.0,90.0,46.0,35.0,24.0,14.0,5.0,7.0,6.0,3.0,73.0,41.0,31.0,16.0,14.0,1.0,4.0,328.0,160.0,398.0,115.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,273,105539,8.0,,Evgeny Donskoy,R,185.0,RUS,33.2,208223,,WC,Alvaro Guillen Meza,R,175.0,ECU,20.5,6-4 2-6 6-3,3,R32,133.0,0.0,1.0,89.0,59.0,40.0,18.0,14.0,7.0,10.0,2.0,4.0,81.0,51.0,39.0,12.0,13.0,7.0,10.0,253.0,229.0,552.0,65.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,274,208659,3.0,,Giovanni Mpetshi Perricard,R,203.0,FRA,20.0,127123,,Q,Mateus Alves,R,193.0,BRA,22.4,6-3 6-4,3,R32,78.0,10.0,2.0,55.0,37.0,33.0,9.0,10.0,0.0,0.0,5.0,0.0,50.0,33.0,23.0,9.0,9.0,5.0,7.0,222.0,266.0,503.0,76.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,275,106109,,,Alex Bolt,L,183.0,AUS,30.5,209176,,WC,Angel Diaz Jalil,R,,ECU,21.7,7-5 7-6(2),3,R32,108.0,9.0,1.0,67.0,42.0,33.0,16.0,12.0,0.0,2.0,5.0,4.0,81.0,51.0,32.0,14.0,12.0,2.0,5.0,330.0,158.0,1579.0,2.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,276,210340,,SE,Philip Sekulic,R,191.0,AUS,19.8,126612,,Alt,Alexander Cozbinov,R,188.0,MDA,28.2,7-6(6) 6-4,3,R32,120.0,1.0,2.0,71.0,48.0,32.0,15.0,11.0,3.0,4.0,4.0,9.0,74.0,41.0,32.0,16.0,11.0,3.0,5.0,340.0,152.0,452.0,94.0,atp_matches_qual_chall_2023.csv
2023-0059,Salinas CH,Hard,32,C,20230724,277,202320,7.0,,Beibit Zhukayev,R,198.0,KAZ,22.7,208046,,Alt,Pedro Boscardin Dias,R,180.0,BRA,20.4,6-3 6-4,3,R32,90.0,10.0,6.0,71.0,45.0,37.0,12.0,10.0,5.0,5.0,2.0,3.0,62.0,38.0,26.0,12.0,9.0,7.0,9.0,270.0,205.0,409.0,110.0,atp_matches_qual_chall_2023.csv
