tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2005-1536,Madrid Masters,Hard,48,M,20051017,1,103812,,,Victor Hanescu,R,198.0,ROU,24.2,102720,,Q,Tomas Zib,R,178.0,CZE,29.7,6-1 6-4,3,R64,59.0,10.0,1.0,50.0,33.0,25.0,14.0,9.0,3.0,3.0,3.0,3.0,44.0,27.0,20.0,6.0,8.0,2.0,5.0,42.0,827.0,63.0,621.0,atp_matches_2005.csv
2005-1536,Madrid Masters,Hard,48,M,20051017,2,102845,,,Carlos Moya,R,190.0,ESP,29.1,103835,,,Filippo Volandri,R,183.0,ITA,24.1,6-1 6-2,3,R64,65.0,3.0,2.0,49.0,26.0,22.0,15.0,8.0,6.0,6.0,1.0,6.0,52.0,24.0,16.0,9.0,7.0,5.0,9.0,33.0,1005.0,41.0,836.0,atp_matches_2005.csv
2005-1536,Madrid Masters,Hard,48,M,20051017,3,102450,,,Tim Henman,R,185.0,GBR,31.1,103758,,,Taylor Dent,R,188.0,USA,24.4,6-2 6-4,3,R64,78.0,3.0,1.0,58.0,34.0,27.0,14.0,9.0,2.0,2.0,5.0,7.0,59.0,22.0,15.0,20.0,9.0,1.0,4.0,26.0,1120.0,28.0,1115.0,atp_matches_2005.csv
2005-1536,Madrid Masters,Hard,48,M,20051017,4,104076,,,Jose Acasuso,R,190.0,ARG,22.9,104022,,,Mikhail Youzhny,R,183.0,RUS,23.3,6-7(5) 6-4 2-0 RET,3,R64,104.0,11.0,2.0,81.0,44.0,34.0,19.0,12.0,1.0,3.0,4.0,9.0,82.0,32.0,22.0,25.0,12.0,4.0,8.0,55.0,678.0,29.0,1090.0,atp_matches_2005.csv
2005-1536,Madrid Masters,Hard,48,M,20051017,5,103971,,,Karol Beck,R,180.0,SVK,23.5,103017,,,Nicolas Kiefer,R,183.0,GER,28.2,6-2 2-1 RET,3,R64,61.0,3.0,3.0,37.0,12.0,11.0,14.0,5.0,3.0,3.0,2.0,0.0,37.0,21.0,13.0,6.0,6.0,2.0,5.0,45.0,771.0,30.0,1070.0,atp_matches_2005.csv
2005-1536,Madrid Masters,Hard,48,M,20051017,6,103206,,,Sebastien Grosjean,R,175.0,FRA,27.3,103852,,,Feliciano Lopez,L,188.0,ESP,24.0,7-5 4-6 6-2,3,R64,124.0,14.0,2.0,89.0,41.0,30.0,32.0,15.0,0.0,1.0,10.0,7.0,85.0,48.0,35.0,20.0,15.0,4.0,7.0,34.0,1000.0,31.0,1030.0,atp_matches_2005.csv
2005-1536,Madrid Masters,Hard,48,M,20051017,7,102860,,Q,Agustin Calleri,R,183.0,ARG,29.0,102610,,WC,Albert Costa,R,180.0,ESP,30.3,6-0 7-5,3,R64,74.0,12.0,1.0,52.0,34.0,29.0,10.0,9.0,3.0,3.0,0.0,2.0,49.0,20.0,13.0,13.0,9.0,1.0,5.0,61.0,632.0,102.0,410.0,atp_matches_2005.csv
2005-1536,Madrid Masters,Hard,48,M,20051017,8,103018,,,Max Mirnyi,R,196.0,BLR,28.2,103507,,,Juan Carlos Ferrero,R,183.0,ESP,25.6,7-5 7-6(2),3,R64,108.0,11.0,1.0,91.0,64.0,48.0,11.0,12.0,10.0,11.0,2.0,1.0,75.0,57.0,37.0,11.0,12.0,1.0,3.0,25.0,1125.0,16.0,1425.0,atp_matches_2005.csv
2005-1536,Madrid Masters,Hard,48,M,20051017,9,103252,,Q,Alberto Martin,R,175.0,ESP,27.1,102562,,,Jiri Novak,R,190.0,CZE,30.5,3-6 7-6(1) 6-4,3,R64,129.0,12.0,3.0,104.0,64.0,49.0,21.0,15.0,6.0,7.0,7.0,5.0,117.0,77.0,55.0,17.0,16.0,8.0,9.0,54.0,686.0,35.0,950.0,atp_matches_2005.csv
2005-1536,Madrid Masters,Hard,48,M,20051017,10,103694,,,Olivier Rochus,R,168.0,BEL,24.7,104607,,,Tomas Berdych,R,196.0,CZE,20.0,1-6 7-6(6) 6-3,3,R64,122.0,4.0,4.0,83.0,52.0,40.0,15.0,13.0,2.0,5.0,19.0,5.0,122.0,69.0,54.0,19.0,15.0,11.0,14.0,24.0,1135.0,50.0,736.0,atp_matches_2005.csv
