tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2017-0083,Eckental CH,Hard,32,C,20171030,227,105109,5.0,,Marc Sieber,L,178.0,GER,29.6,105399,,,Andriej Kapas,R,,POL,28.2,4-6 6-4 6-3,3,Q1,98.0,9.0,8.0,78.0,29.0,28.0,31.0,15.0,0.0,1.0,16.0,8.0,88.0,46.0,38.0,21.0,14.0,5.0,7.0,360.0,122.0,539.0,59.0,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,228,105677,,,Nikola Cacic,R,183.0,SRB,26.8,105012,,,Alexander Bury,R,203.0,BLR,30.1,7-5 6-2,3,Q1,57.0,2.0,1.0,54.0,34.0,27.0,14.0,10.0,3.0,3.0,6.0,3.0,56.0,36.0,25.0,9.0,10.0,2.0,5.0,622.0,43.0,1740.0,1.0,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,229,106246,,,Robin Kern,R,188.0,GER,24.0,105592,,WC,Ralph Regus,L,,GER,27.2,6-4 6-4,3,Q1,70.0,8.0,7.0,57.0,22.0,18.0,20.0,10.0,3.0,5.0,3.0,5.0,64.0,28.0,20.0,14.0,10.0,6.0,10.0,447.0,82.0,,,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,231,105906,6.0,,Kevin Krawietz,R,188.0,GER,25.7,104944,,,Niels Desein,R,190.0,BEL,30.3,3-6 6-4 7-6(6),3,Q1,121.0,23.0,5.0,113.0,68.0,52.0,19.0,15.0,5.0,7.0,10.0,6.0,106.0,56.0,42.0,27.0,16.0,4.0,6.0,361.0,120.0,545.0,58.0,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,232,105161,,,Yann Marti,R,173.0,SUI,29.3,126729,,,Marcus Mansson,U,,SWE,22.2,7-6(5) 6-4,3,Q1,89.0,3.0,8.0,76.0,38.0,28.0,24.0,11.0,2.0,2.0,20.0,3.0,82.0,47.0,37.0,13.0,11.0,3.0,4.0,512.0,66.0,1917.0,1.0,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,233,104736,,,Farrukh Dustov,R,196.0,UZB,31.4,105557,,,Gibril Diarra,U,,AUT,27.4,6-1 6-3,3,Q1,57.0,5.0,1.0,39.0,23.0,19.0,13.0,8.0,0.0,0.0,4.0,6.0,61.0,37.0,24.0,7.0,8.0,2.0,6.0,,,618.0,44.0,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,235,104707,,,Denis Matsukevitch,R,190.0,RUS,31.5,105593,8.0,,Yannick Vandenbulcke,R,,BEL,27.2,5-7 6-1 7-5,3,Q1,116.0,0.0,7.0,108.0,53.0,35.0,22.0,16.0,5.0,11.0,1.0,12.0,84.0,43.0,26.0,16.0,15.0,5.0,13.0,819.0,20.0,381.0,110.0,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,236,133975,,,Benjamin Hassan,R,183.0,LBN,22.7,202349,,WC,Kai Lemstra,R,188.0,GER,18.3,7-5 7-6(4),3,Q1,92.0,12.0,8.0,86.0,44.0,35.0,20.0,12.0,4.0,5.0,1.0,5.0,80.0,46.0,32.0,19.0,12.0,4.0,6.0,633.0,41.0,1523.0,2.0,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,237,104920,,,Denys Molchanov,R,188.0,UKR,30.4,134472,,,Antoine Bellier,L,196.0,SUI,21.0,7-5 6-4,3,Q1,79.0,7.0,5.0,68.0,44.0,37.0,9.0,11.0,6.0,7.0,5.0,3.0,79.0,55.0,38.0,9.0,11.0,5.0,8.0,559.0,53.0,714.0,30.0,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,239,202350,,WC,Fabian Penzkofer,R,,GER,17.7,126512,7.0,,Fabien Reboul,R,185.0,FRA,22.1,6-3 6-0,3,Q1,62.0,1.0,3.0,56.0,31.0,27.0,12.0,8.0,6.0,6.0,7.0,7.0,46.0,24.0,15.0,6.0,7.0,4.0,8.0,,,393.0,103.0,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,240,134384,,WC,Sebastian Prechtel,R,185.0,GER,21.4,103811,,,Andreas Siljestrom,R,,SWE,36.2,4-6 6-1 6-1,3,Q1,74.0,5.0,5.0,78.0,50.0,34.0,14.0,12.0,6.0,9.0,6.0,5.0,68.0,41.0,25.0,7.0,12.0,3.0,10.0,796.0,22.0,,,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,241,145001,,,Evan Furness,R,173.0,FRA,19.2,122351,,WC,Johannes Haerteis,L,196.0,GER,21.6,3-6 7-6(4) 7-6(3),3,Q1,129.0,6.0,5.0,110.0,64.0,46.0,25.0,16.0,6.0,10.0,4.0,17.0,121.0,66.0,49.0,25.0,17.0,6.0,9.0,608.0,45.0,908.0,15.0,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,243,105109,5.0,,Marc Sieber,L,178.0,GER,29.6,105677,,,Nikola Cacic,R,183.0,SRB,26.8,6-2 3-6 6-1,3,Q2,82.0,2.0,4.0,64.0,28.0,25.0,20.0,12.0,1.0,3.0,6.0,4.0,79.0,40.0,25.0,17.0,12.0,5.0,10.0,360.0,122.0,622.0,43.0,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,244,106246,,,Robin Kern,R,188.0,GER,24.0,105047,4.0,,Tim Puetz,R,185.0,GER,29.9,6-3 7-5,3,Q2,83.0,6.0,3.0,77.0,46.0,35.0,18.0,11.0,4.0,4.0,9.0,0.0,66.0,45.0,30.0,11.0,10.0,5.0,7.0,447.0,82.0,332.0,139.0,atp_matches_qual_chall_2017.csv
2017-0083,Eckental CH,Hard,32,C,20171030,245,105161,,,Yann Marti,R,173.0,SUI,29.3,105906,6.0,,Kevin Krawietz,R,188.0,GER,25.7,6-3 6-7(3) 6-3,3,Q2,116.0,5.0,6.0,96.0,53.0,41.0,25.0,16.0,5.0,7.0,7.0,5.0,99.0,54.0,37.0,23.0,14.0,3.0,7.0,512.0,66.0,361.0,120.0,atp_matches_qual_chall_2017.csv
