tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2006-1536,Madrid Masters,Hard,48,M,20061016,1,103454,,,Nicolas Massu,R,183.0,CHI,27.0,103292,,,Gaston Gaudio,R,175.0,ARG,27.8,4-6 6-3 RET,3,R64,88.0,4.0,4.0,57.0,28.0,20.0,15.0,10.0,1.0,4.0,0.0,5.0,56.0,35.0,25.0,8.0,9.0,1.0,4.0,45.0,795.0,20.0,1245.0,atp_matches_2006.csv
2006-1536,Madrid Masters,Hard,48,M,20061016,2,104417,,,Robin Soderling,R,193.0,SWE,22.1,103694,,,Olivier Rochus,R,168.0,BEL,25.7,6-3 6-4,3,R64,62.0,11.0,2.0,53.0,33.0,27.0,13.0,10.0,0.0,0.0,2.0,1.0,53.0,35.0,22.0,10.0,9.0,6.0,8.0,29.0,988.0,32.0,950.0,atp_matches_2006.csv
2006-1536,Madrid Masters,Hard,48,M,20061016,3,104068,,,Robby Ginepri,R,183.0,USA,24.0,103852,,WC,Feliciano Lopez,L,188.0,ESP,25.0,6-1 3-6 6-3,3,R64,110.0,7.0,2.0,89.0,52.0,35.0,22.0,13.0,10.0,11.0,7.0,4.0,76.0,40.0,30.0,17.0,12.0,3.0,6.0,47.0,775.0,81.0,501.0,atp_matches_2006.csv
2006-1536,Madrid Masters,Hard,48,M,20061016,4,103428,,,Juan Ignacio Chela,R,190.0,ARG,27.1,102845,,WC,Carlos Moya,R,190.0,ESP,30.1,6-3 6-2,3,R64,58.0,3.0,1.0,45.0,29.0,24.0,13.0,9.0,2.0,2.0,1.0,1.0,46.0,30.0,21.0,6.0,8.0,3.0,6.0,35.0,915.0,43.0,825.0,atp_matches_2006.csv
2006-1536,Madrid Masters,Hard,48,M,20061016,5,103898,,Q,Julien Benneteau,R,185.0,FRA,24.8,104268,,Q,Alejandro Falla,L,185.0,COL,22.9,6-2 6-1,3,R64,58.0,2.0,1.0,50.0,37.0,27.0,9.0,8.0,4.0,4.0,0.0,0.0,41.0,25.0,12.0,8.0,7.0,2.0,6.0,46.0,785.0,107.0,397.0,atp_matches_2006.csv
2006-1536,Madrid Masters,Hard,48,M,20061016,6,102450,,WC,Tim Henman,R,185.0,GBR,32.1,104269,,,Fernando Verdasco,L,188.0,ESP,22.9,7-5 6-3,3,R64,91.0,6.0,3.0,66.0,43.0,32.0,17.0,11.0,5.0,5.0,3.0,3.0,59.0,42.0,30.0,7.0,10.0,2.0,4.0,41.0,835.0,26.0,1055.0,atp_matches_2006.csv
2006-1536,Madrid Masters,Hard,48,M,20061016,7,103498,,,Marat Safin,R,193.0,RUS,26.7,104076,,,Jose Acasuso,R,190.0,ARG,23.9,7-6(5) 6-7(4) 6-3,3,R64,135.0,16.0,0.0,109.0,70.0,56.0,18.0,17.0,3.0,5.0,15.0,3.0,101.0,57.0,47.0,22.0,16.0,4.0,7.0,49.0,765.0,25.0,1080.0,atp_matches_2006.csv
2006-1536,Madrid Masters,Hard,48,M,20061016,8,104019,,,Kristof Vliegen,R,193.0,BEL,24.3,104098,,,Dmitry Tursunov,R,185.0,RUS,23.8,6-3 6-1,3,R64,61.0,6.0,3.0,45.0,26.0,22.0,12.0,8.0,3.0,3.0,5.0,4.0,63.0,34.0,21.0,11.0,8.0,6.0,10.0,33.0,945.0,21.0,1230.0,atp_matches_2006.csv
2006-1536,Madrid Masters,Hard,48,M,20061016,9,104026,,,Joachim Johansson,R,198.0,SWE,24.2,105223,,Q,Juan Martin del Potro,R,198.0,ARG,18.0,6-4 6-4,3,R64,75.0,17.0,3.0,63.0,44.0,34.0,11.0,10.0,8.0,8.0,3.0,0.0,57.0,45.0,30.0,9.0,10.0,4.0,6.0,292.0,127.0,96.0,422.0,atp_matches_2006.csv
2006-1536,Madrid Masters,Hard,48,M,20061016,10,103387,,,Paradorn Srichaphan,R,185.0,THA,27.3,103165,,Q,Gorka Fraile,R,180.0,ESP,28.5,6-2 6-2,3,R64,55.0,4.0,1.0,45.0,25.0,20.0,13.0,8.0,0.0,0.0,1.0,0.0,49.0,35.0,20.0,4.0,8.0,0.0,4.0,57.0,695.0,130.0,336.0,atp_matches_2006.csv
