tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2004-1536,Madrid Masters,Hard,48,M,20041018,1,102610,,,Albert Costa,R,180.0,ESP,29.3,103789,,,Irakli Labadze,L,188.0,GEO,23.3,6-2 5-7 7-5,3,R64,161.0,8.0,1.0,99.0,58.0,45.0,21.0,16.0,8.0,10.0,5.0,13.0,118.0,64.0,40.0,28.0,16.0,13.0,17.0,54.0,705.0,65.0,598.0,atp_matches_2004.csv
2004-1536,Madrid Masters,Hard,48,M,20041018,2,103344,,,Ivan Ljubicic,R,193.0,CRO,25.5,104607,,Q,Tomas Berdych,R,196.0,CZE,19.0,6-4 6-4,3,R64,76.0,10.0,3.0,55.0,29.0,26.0,15.0,10.0,1.0,1.0,6.0,4.0,58.0,29.0,21.0,16.0,10.0,4.0,6.0,29.0,1085.0,38.0,883.0,atp_matches_2004.csv
2004-1536,Madrid Masters,Hard,48,M,20041018,3,102179,,Q,Antony Dupuis,R,185.0,FRA,31.6,102860,,,Agustin Calleri,R,183.0,ARG,28.0,6-4 6-4,3,R64,72.0,9.0,0.0,49.0,32.0,27.0,14.0,10.0,0.0,0.0,5.0,5.0,65.0,28.0,23.0,19.0,10.0,2.0,4.0,96.0,436.0,56.0,685.0,atp_matches_2004.csv
2004-1536,Madrid Masters,Hard,48,M,20041018,4,103084,,,Guillermo Canas,R,185.0,ARG,26.8,104019,,Q,Kristof Vliegen,R,193.0,BEL,22.3,5-7 7-5 6-1,3,R64,147.0,6.0,7.0,88.0,44.0,32.0,24.0,16.0,2.0,6.0,9.0,3.0,107.0,53.0,35.0,23.0,15.0,4.0,10.0,16.0,1369.0,112.0,384.0,atp_matches_2004.csv
2004-1536,Madrid Masters,Hard,48,M,20041018,5,104417,,,Robin Soderling,R,193.0,SWE,20.1,104252,,,Florian Mayer,R,190.0,GER,21.0,6-3 7-6(2),3,R64,79.0,8.0,1.0,96.0,57.0,45.0,19.0,11.0,5.0,5.0,4.0,1.0,57.0,37.0,27.0,13.0,10.0,2.0,3.0,34.0,965.0,35.0,961.0,atp_matches_2004.csv
2004-1536,Madrid Masters,Hard,48,M,20041018,6,102374,,WC,Alex Corretja,R,180.0,ESP,30.5,103970,,WC,David Ferrer,R,175.0,ESP,22.5,7-5 6-1,3,R64,72.0,5.0,2.0,51.0,25.0,25.0,16.0,10.0,1.0,1.0,4.0,6.0,62.0,34.0,26.0,8.0,9.0,2.0,5.0,86.0,471.0,42.0,824.0,atp_matches_2004.csv
2004-1536,Madrid Masters,Hard,48,M,20041018,7,103163,,,Tommy Haas,R,188.0,GER,26.5,103598,,,Xavier Malisse,R,185.0,BEL,24.2,6-4 6-1,3,R64,58.0,4.0,3.0,49.0,30.0,26.0,12.0,9.0,4.0,4.0,5.0,2.0,43.0,25.0,18.0,7.0,8.0,1.0,4.0,26.0,1135.0,49.0,760.0,atp_matches_2004.csv
2004-1536,Madrid Masters,Hard,48,M,20041018,8,103758,,,Taylor Dent,R,188.0,USA,23.4,104022,,,Mikhail Youzhny,R,183.0,RUS,22.3,6-3 6-2,3,R64,55.0,5.0,0.0,44.0,32.0,28.0,8.0,9.0,0.0,0.0,3.0,7.0,54.0,30.0,18.0,10.0,8.0,3.0,6.0,40.0,855.0,31.0,1065.0,atp_matches_2004.csv
2004-1536,Madrid Masters,Hard,48,M,20041018,9,103632,,,Luis Horna,R,180.0,PER,24.0,102271,,,Hicham Arazi,L,175.0,MAR,30.9,6-4 7-5,3,R64,96.0,6.0,2.0,73.0,39.0,29.0,19.0,11.0,3.0,4.0,4.0,1.0,75.0,49.0,30.0,15.0,11.0,7.0,10.0,41.0,845.0,48.0,765.0,atp_matches_2004.csv
2004-1536,Madrid Masters,Hard,48,M,20041018,10,103888,,,Mardy Fish,R,188.0,USA,22.8,104339,,,Mario Ancic,R,196.0,CRO,20.5,0-6 6-4 6-4,3,R64,101.0,4.0,5.0,64.0,28.0,22.0,20.0,13.0,0.0,3.0,9.0,6.0,87.0,48.0,35.0,21.0,13.0,6.0,8.0,30.0,1070.0,28.0,1111.0,atp_matches_2004.csv
2004-1536,Madrid Masters,Hard,48,M,20041018,11,102905,,Q,Stefan Koubek,L,175.0,AUT,27.7,102854,,,Sjeng Schalken,R,193.0,NED,28.1,6-4 6-4,3,R64,76.0,5.0,2.0,53.0,36.0,29.0,8.0,10.0,1.0,3.0,0.0,3.0,66.0,40.0,23.0,13.0,10.0,5.0,9.0,92.0,442.0,55.0,705.0,atp_matches_2004.csv
2004-1536,Madrid Masters,Hard,48,M,20041018,12,103852,,,Feliciano Lopez,L,188.0,ESP,23.0,103333,,,Ivo Karlovic,R,208.0,CRO,25.6,6-4 6-7(10) 7-6(5),3,R64,132.0,8.0,3.0,110.0,74.0,63.0,23.0,17.0,4.0,4.0,35.0,6.0,107.0,74.0,64.0,20.0,17.0,1.0,2.0,27.0,1120.0,64.0,604.0,atp_matches_2004.csv
2004-1536,Madrid Masters,Hard,48,M,20041018,13,104068,,,Robby Ginepri,R,183.0,USA,22.0,101869,,Q,Juan Luis Tati Rascon,R,,ESP,33.6,6-1 6-4,3,R64,72.0,6.0,0.0,51.0,35.0,29.0,9.0,9.0,1.0,1.0,3.0,5.0,60.0,35.0,22.0,9.0,8.0,7.0,10.0,60.0,635.0,484.0,45.0,atp_matches_2004.csv
