tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2008-1536,Madrid Masters,Hard,48,M,20081012,1,105208,,,Ernests Gulbis,R,190.0,LAT,20.1,103017,,,Nicolas Kiefer,R,183.0,GER,31.2,5-7 6-4 7-5,3,R64,143.0,10.0,4.0,99.0,63.0,48.0,21.0,17.0,3.0,4.0,5.0,4.0,95.0,51.0,42.0,26.0,17.0,3.0,5.0,54.0,719.0,27.0,1120.0,atp_matches_2008.csv
2008-1536,Madrid Masters,Hard,48,M,20081012,2,103888,,,Mardy Fish,R,188.0,USA,26.8,104327,,Q,Steve Darcis,R,178.0,BEL,24.5,6-1 6-4,3,R64,71.0,13.0,1.0,54.0,25.0,24.0,17.0,9.0,4.0,4.0,0.0,1.0,51.0,26.0,14.0,15.0,8.0,1.0,4.0,25.0,1145.0,59.0,694.0,atp_matches_2008.csv
2008-1536,Madrid Masters,Hard,48,M,20081012,3,104259,,,Philipp Kohlschreiber,R,178.0,GER,24.9,102845,,,Carlos Moya,R,190.0,ESP,32.1,6-2 6-2,3,R64,66.0,3.0,1.0,47.0,28.0,22.0,12.0,8.0,1.0,1.0,3.0,3.0,58.0,36.0,19.0,8.0,8.0,5.0,9.0,31.0,1065.0,46.0,805.0,atp_matches_2008.csv
2008-1536,Madrid Masters,Hard,48,M,20081012,4,103852,,,Feliciano Lopez,L,188.0,ESP,27.0,103656,,WC,Albert Montanes,R,175.0,ESP,27.8,7-6(4) 6-3,3,R64,88.0,10.0,1.0,61.0,37.0,34.0,16.0,11.0,0.0,0.0,1.0,4.0,86.0,48.0,31.0,22.0,10.0,4.0,5.0,40.0,865.0,48.0,777.0,atp_matches_2008.csv
2008-1536,Madrid Masters,Hard,48,M,20081012,5,103812,,Q,Victor Hanescu,R,198.0,ROU,27.2,104098,,,Dmitry Tursunov,R,185.0,RUS,25.8,4-6 6-2 6-3,3,R64,98.0,12.0,2.0,84.0,57.0,48.0,9.0,14.0,2.0,4.0,5.0,2.0,87.0,62.0,36.0,14.0,13.0,4.0,8.0,73.0,579.0,26.0,1123.0,atp_matches_2008.csv
2008-1536,Madrid Masters,Hard,48,M,20081012,6,104417,,,Robin Soderling,R,193.0,SWE,24.1,103722,,Q,Florent Serra,R,180.0,FRA,27.6,6-3 6-4,3,R64,70.0,11.0,2.0,57.0,27.0,20.0,15.0,10.0,3.0,6.0,4.0,2.0,56.0,36.0,21.0,6.0,9.0,4.0,9.0,28.0,1080.0,64.0,658.0,atp_matches_2008.csv
2008-1536,Madrid Masters,Hard,48,M,20081012,7,104468,,,Gilles Simon,R,183.0,FRA,23.7,104214,,,Igor Andreev,R,185.0,RUS,25.2,4-6 6-1 7-6(7),3,R64,129.0,9.0,3.0,90.0,48.0,39.0,26.0,15.0,6.0,8.0,6.0,2.0,99.0,64.0,47.0,13.0,14.0,4.0,7.0,16.0,1390.0,20.0,1240.0,atp_matches_2008.csv
2008-1536,Madrid Masters,Hard,48,M,20081012,8,104068,,Q,Robby Ginepri,R,183.0,USA,26.0,103566,,,Michael Llodra,L,190.0,FRA,28.4,6-4 6-4,3,R64,77.0,6.0,0.0,68.0,47.0,34.0,11.0,10.0,1.0,2.0,3.0,3.0,59.0,34.0,23.0,13.0,10.0,3.0,6.0,63.0,660.0,38.0,885.0,atp_matches_2008.csv
2008-1536,Madrid Masters,Hard,48,M,20081012,9,103990,,,Tommy Robredo,R,180.0,ESP,26.4,104312,,,Andreas Seppi,R,190.0,ITA,24.6,7-6(5) 3-6 6-3,3,R64,140.0,7.0,2.0,97.0,59.0,46.0,21.0,15.0,3.0,5.0,4.0,0.0,93.0,59.0,38.0,25.0,15.0,0.0,2.0,19.0,1255.0,36.0,975.0,atp_matches_2008.csv
2008-1536,Madrid Masters,Hard,48,M,20081012,10,104792,,,Gael Monfils,R,193.0,FRA,22.1,104926,,WC,Fabio Fognini,R,178.0,ITA,21.3,6-2 6-4,3,R64,69.0,5.0,1.0,57.0,33.0,21.0,16.0,9.0,1.0,2.0,1.0,7.0,58.0,30.0,17.0,14.0,9.0,7.0,11.0,18.0,1283.0,75.0,573.0,atp_matches_2008.csv
