tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2019-0083,Eckental CH,Hard,64,C,20191028,221,207830,2.0,,Tomas Machac,R,183.0,CZE,19.0,208328,,WC,Max Wiskandt,R,191.0,GER,17.7,6-3 6-3,3,Q1,65.0,2.0,1.0,52.0,30.0,23.0,12.0,9.0,1.0,2.0,6.0,7.0,58.0,34.0,23.0,8.0,9.0,2.0,6.0,307.0,135.0,1612.0,1.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,222,126340,,,Viktor Durasovic,R,185.0,NOR,22.6,123828,1.0,,Jan Choinski,R,196.0,GBR,23.3,6-3 6-2,3,Q1,58.0,5.0,3.0,57.0,32.0,22.0,13.0,9.0,4.0,6.0,1.0,3.0,52.0,35.0,19.0,5.0,8.0,2.0,7.0,341.0,117.0,288.0,143.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,239,202195,,,Maxime Cressy,R,201.0,USA,22.4,207408,,WC,Niklas Guttau,L,178.0,GER,19.8,6-3 7-5,3,R64,82.0,15.0,2.0,62.0,43.0,37.0,12.0,11.0,1.0,1.0,1.0,2.0,64.0,35.0,27.0,13.0,10.0,3.0,5.0,182.0,282.0,908.0,13.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,240,122298,,,Botic Van De Zandschulp,R,191.0,NED,24.0,105778,,WC,Tobias Simon,R,,GER,28.4,6-4 6-7(6) 7-6(5),3,R64,123.0,13.0,3.0,96.0,61.0,55.0,25.0,17.0,0.0,0.0,22.0,6.0,99.0,75.0,60.0,16.0,17.0,0.0,1.0,211.0,243.0,490.0,62.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,243,207830,,Q,Tomas Machac,R,183.0,CZE,19.0,200303,,,Pavel Kotov,R,191.0,RUS,20.9,6-3 6-4,3,R64,67.0,1.0,2.0,51.0,32.0,26.0,14.0,10.0,0.0,0.0,7.0,4.0,61.0,39.0,31.0,7.0,9.0,3.0,5.0,307.0,135.0,252.0,183.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,244,104735,,,Tobias Kamke,R,180.0,GER,33.4,104999,,,Mischa Zverev,L,190.0,GER,32.1,7-6(4) 6-1,3,R64,86.0,2.0,4.0,84.0,43.0,32.0,21.0,10.0,6.0,7.0,9.0,7.0,63.0,42.0,29.0,6.0,9.0,3.0,6.0,239.0,207.0,291.0,141.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,247,117356,,,Cem Ilkel,R,185.0,TUR,24.1,208816,,WC,Jeremy Schifris,L,,GER,18.0,6-4 6-2,3,R64,62.0,5.0,0.0,52.0,40.0,31.0,9.0,9.0,2.0,2.0,3.0,1.0,56.0,36.0,18.0,13.0,9.0,1.0,4.0,274.0,159.0,,,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,248,200514,,,Jurij Rodionov,L,191.0,AUT,20.4,202279,,WC,Leopold Zima,R,185.0,GER,19.4,6-4 7-6(6),3,R64,75.0,1.0,4.0,67.0,47.0,36.0,11.0,11.0,0.0,1.0,10.0,1.0,70.0,44.0,33.0,13.0,11.0,2.0,4.0,290.0,142.0,1421.0,3.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,251,109699,,,Julian Lenz,R,188.0,GER,26.6,126340,,Q,Viktor Durasovic,R,185.0,NOR,22.6,7-6(6) 6-2,3,R64,83.0,9.0,5.0,77.0,36.0,30.0,18.0,10.0,8.0,10.0,4.0,10.0,66.0,31.0,23.0,12.0,10.0,5.0,9.0,238.0,210.0,341.0,117.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,252,106348,,,Evgeny Karlovskiy,R,191.0,RUS,25.2,109054,,,Daniel Masur,R,183.0,GER,24.9,6-7(8) 7-6(2) 6-1,3,R64,133.0,18.0,3.0,111.0,76.0,56.0,17.0,16.0,2.0,4.0,11.0,3.0,104.0,71.0,47.0,17.0,15.0,4.0,8.0,263.0,173.0,241.0,204.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,255,105041,,,Lukas Lacko,R,185.0,SVK,31.9,208328,,LL,Max Wiskandt,R,191.0,GER,17.7,6-4 6-1,3,R64,51.0,10.0,0.0,43.0,28.0,26.0,10.0,9.0,0.0,0.0,3.0,4.0,61.0,38.0,20.0,12.0,8.0,4.0,7.0,193.0,269.0,1612.0,1.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,256,105441,,,John Patrick Smith,L,188.0,AUS,30.7,122351,,WC,Johannes Haerteis,L,196.0,GER,23.6,7-6(3) 6-7(2) 7-6(5),3,R64,145.0,7.0,3.0,118.0,72.0,55.0,29.0,18.0,5.0,7.0,16.0,8.0,124.0,74.0,60.0,26.0,18.0,6.0,8.0,304.0,135.0,431.0,79.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,259,105074,,,Ruben Bemelmans,L,183.0,BEL,31.7,106234,,,Aslan Karatsev,R,185.0,RUS,26.1,6-2 6-3,3,R64,76.0,5.0,3.0,46.0,29.0,25.0,9.0,8.0,0.0,0.0,6.0,9.0,73.0,41.0,25.0,12.0,9.0,11.0,15.0,217.0,226.0,271.0,163.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,260,109303,,,Stefano Napolitano,R,196.0,ITA,24.5,126120,,,Nino Serdarusic,R,191.0,CRO,22.8,7-5 6-4,3,R64,84.0,4.0,1.0,61.0,31.0,27.0,17.0,11.0,3.0,4.0,8.0,2.0,72.0,40.0,27.0,16.0,11.0,3.0,6.0,232.0,214.0,279.0,152.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,263,144645,,,Zdenek Kolar,R,183.0,CZE,23.0,105634,,,Viktor Galovic,R,193.0,ITA,29.1,6-2 6-2,3,R64,60.0,3.0,2.0,38.0,26.0,23.0,9.0,8.0,0.0,0.0,13.0,2.0,69.0,43.0,27.0,8.0,8.0,8.0,12.0,267.0,170.0,246.0,194.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,264,105011,,,Illya Marchenko,R,185.0,UKR,32.1,111192,,,Lucas Miedler,R,183.0,AUT,23.3,6-1 6-2,3,R64,66.0,9.0,1.0,48.0,24.0,21.0,14.0,8.0,3.0,3.0,1.0,4.0,65.0,43.0,19.0,12.0,7.0,11.0,15.0,256.0,178.0,276.0,158.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,267,104327,,,Steve Darcis,R,178.0,BEL,35.6,104868,,,James Ward,R,190.0,GBR,32.7,7-5 7-6(4),3,R64,83.0,10.0,4.0,69.0,31.0,27.0,24.0,12.0,2.0,3.0,6.0,4.0,80.0,48.0,37.0,14.0,12.0,3.0,5.0,181.0,284.0,289.0,143.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,268,144817,,Alt,Marc Andrea Huesler,L,196.0,SUI,23.3,105806,,,Mirza Basic,R,188.0,BIH,28.2,3-6 6-3 7-6(4),3,R64,116.0,9.0,4.0,96.0,60.0,44.0,22.0,15.0,3.0,5.0,9.0,2.0,96.0,61.0,43.0,22.0,15.0,4.0,6.0,277.0,154.0,299.0,137.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,270,105967,2.0,,Henri Laaksonen,R,185.0,SUI,27.5,202195,,,Maxime Cressy,R,201.0,USA,22.4,6-4 5-7 7-6(3),3,R32,129.0,8.0,4.0,96.0,54.0,46.0,25.0,17.0,4.0,6.0,19.0,8.0,108.0,76.0,56.0,15.0,17.0,5.0,7.0,105.0,541.0,182.0,282.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,271,122298,,,Botic Van De Zandschulp,R,191.0,NED,24.0,104678,14.0,,Viktor Troicki,R,193.0,SRB,33.7,3-6 6-3 6-4,3,R32,100.0,10.0,3.0,83.0,59.0,44.0,14.0,14.0,3.0,4.0,6.0,6.0,89.0,56.0,42.0,16.0,14.0,4.0,6.0,211.0,243.0,158.0,330.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,272,125802,9.0,,Ilya Ivashka,R,193.0,BLR,25.6,207830,,Q,Tomas Machac,R,183.0,CZE,19.0,6-3 6-0,3,R32,79.0,8.0,3.0,60.0,34.0,26.0,14.0,8.0,7.0,7.0,2.0,3.0,72.0,50.0,24.0,10.0,7.0,10.0,14.0,145.0,366.0,307.0,135.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,273,106210,7.0,,Jiri Vesely,L,198.0,CZE,26.2,104735,,,Tobias Kamke,R,180.0,GER,33.4,6-3 6-3,3,R32,70.0,11.0,5.0,49.0,32.0,31.0,7.0,9.0,0.0,0.0,2.0,5.0,55.0,27.0,21.0,11.0,9.0,1.0,4.0,119.0,474.0,239.0,207.0,atp_matches_qual_chall_2019.csv
2019-0083,Eckental CH,Hard,64,C,20191028,274,105376,4.0,,Peter Gojowczyk,R,188.0,GER,30.2,117356,,,Cem Ilkel,R,185.0,TUR,24.1,6-4 6-7(5) 7-5,3,R32,121.0,20.0,7.0,109.0,52.0,43.0,29.0,17.0,6.0,9.0,9.0,1.0,99.0,60.0,43.0,22.0,17.0,5.0,10.0,118.0,475.0,274.0,159.0,atp_matches_qual_chall_2019.csv
