tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2007-1536,Madrid Masters,Hard,48,M,20071015,1,104068,,Q,Robby Ginepri,R,183.0,USA,25.0,103781,,,Jurgen Melzer,L,183.0,AUT,26.3,2-6 7-6(2) 6-4,3,R64,117.0,4.0,3.0,99.0,64.0,40.0,23.0,15.0,4.0,7.0,4.0,2.0,89.0,61.0,43.0,16.0,15.0,4.0,6.0,72.0,535.0,56.0,625.0,atp_matches_2007.csv
2007-1536,Madrid Masters,Hard,48,M,20071015,2,102860,,Q,Agustin Calleri,R,183.0,ARG,31.0,104098,,,Dmitry Tursunov,R,185.0,RUS,24.8,3-6 7-6(4) 6-4,3,R64,108.0,9.0,2.0,83.0,44.0,35.0,28.0,15.0,0.0,1.0,6.0,2.0,91.0,53.0,43.0,23.0,16.0,0.0,1.0,50.0,660.0,28.0,950.0,atp_matches_2007.csv
2007-1536,Madrid Masters,Hard,48,M,20071015,3,102905,,Q,Stefan Koubek,L,175.0,AUT,30.7,103813,,,Jarkko Nieminen,L,185.0,FIN,26.2,6-3 3-6 6-4,3,R64,98.0,5.0,3.0,78.0,42.0,32.0,18.0,14.0,3.0,7.0,3.0,4.0,94.0,63.0,37.0,16.0,14.0,8.0,13.0,68.0,565.0,29.0,935.0,atp_matches_2007.csv
2007-1536,Madrid Masters,Hard,48,M,20071015,4,103852,,WC,Feliciano Lopez,L,188.0,ESP,26.0,103835,,,Filippo Volandri,R,183.0,ITA,26.1,6-3 6-2,3,R64,79.0,5.0,2.0,57.0,37.0,30.0,7.0,9.0,3.0,4.0,0.0,3.0,42.0,18.0,12.0,10.0,8.0,1.0,5.0,42.0,741.0,43.0,731.0,atp_matches_2007.csv
2007-1536,Madrid Masters,Hard,48,M,20071015,5,103333,,,Ivo Karlovic,R,208.0,CRO,28.6,103498,,,Marat Safin,R,193.0,RUS,27.7,6-3 6-4,3,R64,58.0,17.0,2.0,53.0,38.0,34.0,7.0,10.0,2.0,2.0,3.0,2.0,47.0,26.0,21.0,12.0,9.0,2.0,4.0,24.0,1258.0,36.0,855.0,atp_matches_2007.csv
2007-1536,Madrid Masters,Hard,48,M,20071015,6,103017,,,Nicolas Kiefer,R,183.0,GER,30.2,104527,,,Stan Wawrinka,R,183.0,SUI,22.5,7-5 6-3,3,R64,98.0,3.0,2.0,68.0,40.0,28.0,19.0,11.0,4.0,5.0,1.0,1.0,67.0,45.0,25.0,13.0,10.0,2.0,5.0,112.0,370.0,35.0,860.0,atp_matches_2007.csv
2007-1536,Madrid Masters,Hard,48,M,20071015,7,104338,,,Juan Monaco,R,185.0,ARG,23.5,104214,,,Igor Andreev,R,185.0,RUS,24.2,6-7(5) 6-0 6-4,3,R64,240.0,3.0,1.0,104.0,77.0,53.0,16.0,14.0,10.0,11.0,5.0,3.0,100.0,70.0,44.0,13.0,14.0,6.0,11.0,20.0,1350.0,33.0,895.0,atp_matches_2007.csv
2007-1536,Madrid Masters,Hard,48,M,20071015,8,104597,,,Nicolas Almagro,R,183.0,ESP,22.1,102148,,,Fabrice Santoro,R,178.0,FRA,34.8,6-4 6-4,3,R64,79.0,7.0,1.0,56.0,38.0,29.0,11.0,10.0,1.0,2.0,4.0,2.0,59.0,30.0,19.0,16.0,10.0,3.0,6.0,26.0,1015.0,46.0,719.0,atp_matches_2007.csv
2007-1536,Madrid Masters,Hard,48,M,20071015,9,104339,,,Mario Ancic,R,196.0,CRO,23.5,102967,,Q,Marc Gicquel,R,188.0,FRA,30.5,6-4 6-2,3,R64,71.0,11.0,0.0,43.0,27.0,26.0,10.0,9.0,0.0,0.0,6.0,3.0,47.0,25.0,19.0,10.0,9.0,3.0,6.0,49.0,675.0,77.0,520.0,atp_matches_2007.csv
2007-1536,Madrid Masters,Hard,48,M,20071015,10,103908,,,Paul Henri Mathieu,R,185.0,FRA,25.7,103888,,,Mardy Fish,R,188.0,USA,25.8,6-3 2-6 7-5,3,R64,130.0,12.0,4.0,85.0,49.0,38.0,18.0,14.0,2.0,4.0,19.0,2.0,95.0,52.0,42.0,15.0,15.0,5.0,8.0,21.0,1335.0,38.0,775.0,atp_matches_2007.csv
2007-1536,Madrid Masters,Hard,48,M,20071015,11,103507,,,Juan Carlos Ferrero,R,183.0,ESP,27.6,104268,,Q,Alejandro Falla,L,185.0,COL,23.9,6-4 7-5,3,R64,96.0,2.0,2.0,75.0,43.0,26.0,19.0,11.0,4.0,6.0,2.0,2.0,61.0,39.0,26.0,10.0,11.0,2.0,6.0,23.0,1285.0,128.0,335.0,atp_matches_2007.csv
