tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2003-1531,Joplin CH,Hard,32,C,20030203,1,103408,1.0,,Brian Vahaly,R,183.0,USA,23.5,103371,,,Emin Agaev,R,,AZE,23.7,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,96.0,421.0,278.0,107.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,2,103530,,Q,Zack Fleishman,R,188.0,USA,22.8,103722,,,Florent Serra,R,180.0,FRA,21.9,7-5 3-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,330.0,81.0,218.0,142.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,3,103240,,,Kevin Kim,R,180.0,USA,24.5,102776,,,Andrew Ilie,R,180.0,AUS,26.7,7-6(4) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,232.0,131.0,453.0,47.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,4,104330,,WC,Rajeev Ram,R,193.0,USA,18.8,103573,7.0,,Rik De Voest,R,180.0,RSA,22.6,3-6 6-3 7-6(4),3,R32,,,,,,,,,,,,,,,,,,,,532.0,34.0,173.0,214.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,5,103429,3.0,,Peter Luczak,R,183.0,AUS,23.4,103855,,WC,Jeremy Blandin,U,,FRA,21.3,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,,139.0,269.0,,,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,6,104098,,,Dmitry Tursunov,R,185.0,RUS,20.1,103975,,Q,Eric Nunez,R,,USA,20.8,7-6(3) 6-2,3,R32,,,,,,,,,,,,,,,,,,,,259.0,111.0,465.0,45.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,7,103898,,,Julien Benneteau,R,185.0,FRA,21.1,103395,,,Julio Silva,R,173.0,BRA,23.5,6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,,231.0,132.0,253.0,114.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,8,103130,,,Louis Vosloo,R,178.0,RSA,25.0,102538,6.0,,Tuomas Ketola,R,185.0,FIN,27.9,6-3 7-5,3,R32,,,,,,,,,,,,,,,,,,,,188.0,192.0,170.0,218.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,9,103063,,,Sebastien De Chaunac,R,183.0,FRA,25.3,103505,5.0,,Vasilis Mazarakis,R,178.0,GRE,22.9,6-1 2-2 RET,3,R32,,,,,,,,,,,,,,,,,,,,208.0,154.0,149.0,254.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,10,102834,,,Paul Goldstein,R,178.0,USA,26.4,103393,,,Yuri Schukin,R,188.0,KAZ,23.6,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,,197.0,177.0,235.0,129.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,11,102768,,,Federico Browne,R,180.0,ARG,26.8,103560,,Q,Kj Hippensteel,L,190.0,USA,22.7,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,225.0,135.0,546.0,33.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,12,104166,4.0,,Alex Bogomolov Jr,R,178.0,RUS,19.7,103752,,,Simon Greul,R,185.0,GER,21.8,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,,150.0,253.0,184.0,198.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,13,102558,8.0,,Eric Taino,L,175.0,PHI,27.8,103700,,,Juan Pablo Guzman,L,178.0,ARG,22.0,6-1 3-0 RET,3,R32,,,,,,,,,,,,,,,,,,,,177.0,207.0,243.0,120.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,14,103184,,Q,Bob Bryan,L,193.0,USA,24.7,104070,,WC,Jesse Witten,R,178.0,USA,20.3,6-0 6-1,3,R32,,,,,,,,,,,,,,,,,,,,293.0,98.0,869.0,9.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,15,103397,,,Alexandre Simoni,R,188.0,BRA,23.5,103986,,,Radoslav Lukaev,R,,BUL,20.7,6-7(2) 6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,191.0,184.0,250.0,116.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,16,102855,2.0,,Jack Brasington,R,188.0,USA,26.4,109537,,WC,Danny Dauber,U,,VEN,,6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,,138.0,272.0,,,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,17,103408,1.0,,Brian Vahaly,R,183.0,USA,23.5,103530,,Q,Zack Fleishman,R,188.0,USA,22.8,6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,,96.0,421.0,330.0,81.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,18,103240,,,Kevin Kim,R,180.0,USA,24.5,104330,,WC,Rajeev Ram,R,193.0,USA,18.8,6-1 6-3,3,R16,,,,,,,,,,,,,,,,,,,,232.0,131.0,532.0,34.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,19,103429,3.0,,Peter Luczak,R,183.0,AUS,23.4,104098,,,Dmitry Tursunov,R,185.0,RUS,20.1,6-0 7-6(4),3,R16,,,,,,,,,,,,,,,,,,,,139.0,269.0,259.0,111.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,20,103898,,,Julien Benneteau,R,185.0,FRA,21.1,103130,,,Louis Vosloo,R,178.0,RSA,25.0,6-7(1) 6-3 6-1,3,R16,,,,,,,,,,,,,,,,,,,,231.0,132.0,188.0,192.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,21,103063,,,Sebastien De Chaunac,R,183.0,FRA,25.3,102834,,,Paul Goldstein,R,178.0,USA,26.4,6-4 7-6(0),3,R16,,,,,,,,,,,,,,,,,,,,208.0,154.0,197.0,177.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,22,104166,4.0,,Alex Bogomolov Jr,R,178.0,RUS,19.7,102768,,,Federico Browne,R,180.0,ARG,26.8,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,,150.0,253.0,225.0,135.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,23,103184,,Q,Bob Bryan,L,193.0,USA,24.7,102558,8.0,,Eric Taino,L,175.0,PHI,27.8,6-4 7-5,3,R16,,,,,,,,,,,,,,,,,,,,293.0,98.0,177.0,207.0,atp_matches_qual_chall_2003.csv
2003-1531,Joplin CH,Hard,32,C,20030203,24,103397,,,Alexandre Simoni,R,188.0,BRA,23.5,102855,2.0,,Jack Brasington,R,188.0,USA,26.4,6-3 7-6(4),3,R16,,,,,,,,,,,,,,,,,,,,191.0,184.0,138.0,272.0,atp_matches_qual_chall_2003.csv
